Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 08, 1989",2025,"Leicestershire, England",British Midland Airways,92,London - Belfast,Boeing B-737-4Y0,G-OBME,23867/1603,126   (passengers:118  crew:8),47   (passengers:47  crew:0),0,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach."
"January 31, 1989",1210,"Near Abilene, Texas",Military - U.S. Air Force,?,Dyess AFB - Hawaii,Boeing KC-135A,63-7990,18607/646,19   (passengers:12  crew:7),19   (passengers:12  crew:7),0,Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.
"February 03, 1989",0741,"Rangoon, Myanmar",Burma Airways,?,Rangoon - Kentung,Fokker F-27 Friendship 600,XY-AEK,10325,29   (passengers:25  crew:4),26   (passengers:23  crew:3),0,The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.
"February 06, 1989",1825,"Marseille, France",RAM,3132,Marseille - Paris,Vickers 952F Vanguard,F-GEJE,730,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,After a second takeoff attempt the cargo plane banked to the right until it crashed into the water.
"February 08, 1989",1408,"Santa Maria, Azores, Portugal",Independent Air Inc.,1851,Bergamo - Orio al Serio - Santa Maria,Boeing B-707-331B,N7231T,19572/687,144   (passengers:137  crew:7),144   (passengers:137  crew:7),0,"The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was cleared to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value."
"February 19, 1989",0636,"Near Kuala Lumpur, Malaysia",Flying Tiger Line,66,Singapore - Kuala Lumpur,Boeing 747-249F,N807FT,21828/408,4   (passengers:0  crew:4),4   (passengers:0  crew:4),0,"The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions."
"February 24, 1989",0209,"Honolulu, Hawaii",United Air Lines,811,Los Angeles - Honolulu - Auckland - Sydney,Boeing B-747-122,N4713U,19875/89,356   (passengers:338  crew:18),9   (passengers:9  crew:0),0,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched forward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff. As a failsafe, the latches should have been blocked from moving by a mechanism called a ""locking sector"" (one on each latch), engaged manually by a lever after the door is closed.  However, the locking sectors as designed were not strong enough and could be overcome by the motors which was a design flaw right from the introduction of the747.  This was finally recognized as serious, after a non-fatal failure in 1987, but installing stronger locking sectors required taking each plane out of service 10 hours, and the FAA had allowed airlines 18 months so they could do it during other maintenance procedures."
"February 28, 1989",0633,"Near Quebec City, Quebec, Canada",Transfair,?,La Grande - Lac Bienville,Douglas C-47A,C-FBZN,25290,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The cargo plane crashed after its initial climb. Icing.
"March 10, 1989",?,"Lima, Peru",Aero Condor,?,Sightseeing,Britten Norman BN-2A Trislander,OB-T-1271,0604,10   (passengers:9  crew:1),10   (passengers:9  crew:1),0,Crashed after striking radio tower while on approach.
"March 10, 1989",1209,"Dryden, Ontario, Canada",Air Ontario,1363,Dryden - Winnipeg,Fokker F-28 Fellowship 1000,C-FONF,11060,69   (passengers:65  crew:4),24   (passengers:21  crew:3),0,"While flying from Thunder Bay, Ontario to Winnipeg, Manitoba, the plane crashed on take-off from Dryden, Ontario. The aircraft failed to gain altitude, settled back down on the runway and then took off for a second time clipping the tops of  trees, causing debris to clog the engines leading to the plane crashing. The aircraft was being refueled with one engine running because of an unserviceable APU. Since no external power unit was available at the airport the engine could not be shut down and deicing could not be performed. The captain's decision to take off  in deteriorating weather conditions with an accumulation of snow and ice on the wings.  Decision not to de-ice the plane before taking off. The failure of the Canadian air transport system in placing the crew in a situation where they did not have the resources to make a proper decision."
