Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 20, 1992",1920,"Mt. Saint-Odile, near Strasbourg, France",Air Inter,148,Lyon - Strasbourg,Airbus A320-111,F-GGED,015,96   (passengers:90  crew:6),87   (passengers:82  crew:5),0,"The aircraft hit a mountain while on approach to Strasbourg. The crew was making a non-precision approach to runway 05. Design deficiencies with the rate-of-descent mode selector switch. The captain inadvertently selected 3,300 fpm descent on approach (displayed as 33) instead of 3.3 degree flight path angle (displayed as 3.3 in the same place on the panel) and this went unnoticed. The plane was slightly off course due to ATC error. No GPWS was installed. Both pilots had little time in an Airbus 320. There was inadequate training for non-precision approached. The electronic locator beacon was destroyed in crash, putting survivors at risk for over 4 hours before the wreckage was located."
"January 28, 1992",1620,"Near Stepanakert, Azerbaijan",Military - Azerbaijan Air Force,?,Agdam - Shusha,Mil Mi-8 (helicopter),?,?,47   (passengers:?  crew:?),47   (passengers:?  crew:?),0,Exploded and crashed after being hit by a surface-to-air missile. Highest death toll in a commercial helicopter crash in aviation history.
"February 03, 1992",1120,"Caetite, Brazil",Nordeste Linhas Aéreas,?,Salvador - Guanambi,Embraer 110C Bandeirante,PT-TBB,110-005,12   (passengers:10  crew:2),12   (passengers:10  crew:2),0,The aircraft descended below MDA in poor weather and struck Taquari Hill which was obscured by clouds.
"February 06, 1992",11:43,"Evansville, Indiana",Military - US Air Force,?,Evansville - Evansville,Lockheed C-130B Hercules,58-0732,3527,5   (passengers:0  crew:5),5   (passengers:0  crew:5),12,"The crew was completing a training flight at Evansville Airport on behalf of the Kentucky National Guard, consisting of touch-and-go maneuvers. While on approach, the crew was instructed by ATC to go-around. After reaching an altitude of 1,500 ft. the plane stalled and nosedived into the Drury Hotel. All 5 crew members along with 12 people in the on the ground were killed. It is believed that the loss of control was the consequence of negligence on part of the crew who maintained an insufficient speed while initiating a go-around procedure, causing the aircraft to suffer an aerodynamic stall."
"February 09, 1992",0515,"Near Kafountine, Senegal",Gambcrest,?,Dakar - Yoff - Cap Skiring,Convair CV- 640,N862FW,009,56   (passengers:50  crew:6),30   (passengers:26  crew:4),0,The aircraft crashed into trees during its approach. The crew mistook the hotel lights for runway lights. Pilot error and malfunctioning equipment. Founder of Club Med and his son convicted of involuntary manslaughter in connection with this accident.
"February 15, 1992",0326,"Toledo, Ohio",ATI,805,Seattle - Toledo,McDonnell Douglas DC-8-63F,N794AL,45923/383,4   (passengers:0  crew:4),3   (passengers:0  crew:3),0,"After a missed approach by the copilot the captain took over but also executed a go-around.  He became spatially disoriented. When in a low nose and left bank attitude, control of the plane was transferred back to the first officer who began leveling the wings and raising the nose of the airplane. Impact with the ground occurred before the recovery was completed. The failure of the flight crew to properly recognize or recover in a timely manner from the unusual aircraft attitude that resulted from the captain's apparent spatial disorientation, resulting from physiological factors and/or a failed attitude director."
"February 20, 1992",?,En route from Argentina  to  California,Aerolineas Argentinas,386,?,Boeing B-747,?,?,?   (passengers:?  crew:?),1   (passengers:?  crew:?),0,A passenger died of cholera while en route.
"March 02, 1992",1605,"Beni, Bolivia",Frigorifico Santa Rita,?,Estencia el Trompillo - La Paz,Curtiss C-46T,CP-754,22570,5   (passengers:2  crew:3),5   (passengers:2  crew:3),0,"The cargo plane failed to gain altitude, cleared a fence and crashed to the ground. The wet runway contributed to the failure lift off in a timely manner."
"March 12, 1992",?,"Etsouali, Congo",Lina Congo,?,Dwando - Brazzaville,de Havilland Canada DHC-6 Twin Otter 300,TN-ACX,452,8   (passengers:5  crew:3),3   (passengers:0  crew:3),0,Crashed during a severe thunderstorm.
"March 22, 1992",2135,"La Guardia Airport, New York, New York",USAir,405,New York City - Cleveland,Fokker F-28 Fellowship 4000,N485US,11235,51   (passengers:47  crew:4),27   (passengers:25  crew:2),0,"The plane was de-iced two times while at the gate. Thirty-five minutes elapsed between the last de-icing and takeoff during which ice accumulated on the wings. After liftoff, the plane stalled, crashed and came to rest inverted and partially submerged in Flushing Bay. Failure of the airline industry and FAA to provide flight crews with procedures compatible with departure delays in conditions conducive to airframe icing and the decision by the flight crew to take off without positive assurance that the airplane's wings were free of ice accumulation after 35 minutes of exposure to precipitation following de-icing. The ice contamination on the wings resulted in an aerodynamic stall and loss of control after liftoff."
"March 24, 1992",0702,"Athens, Greece",Golden Star Air Cargo,?,Amsterdam - Athens,Boeing 707-321C,ST-ALX,18715/364,7   (passengers:4  crew:3),7   (passengers:4  crew:3),0,"The crew deviated from the ILS localizer during an approach to  Runway 33R and struck 2,000 foot Mount Hymittus. The pilot didn't comply with the procedures for an ILS approach and attempted a visual approach. The pilot confirmed ""established on the ILS localizer,"" but he was not on the localizer course. The crew waited too long before performing a missed approach."
"April 04, 1992",?,"Near Baikov, Russia",Kamchatavia,?,Petropavlovsk -Baikov,Let 410UVP,CCCP-67130,800326,12   (passengers:10  crew:2),1   (passengers:1  crew:0),0,The cargo plane crashed into high ground 5 km short of the runway in poor weather during a VFR approach.
"April 07, 1992",?,"Near Sarra, Libya",Air Bissau,?,Khartoum - Tunis,Antonov AN-24RV,J5-GAE,77310810,13   (passengers:10  crew:3),3   (passengers:0  crew:3),0,"Could not land due to a sandstorm, ran out of fuel and made a forced landing in the desert. Crash landed in the desert, 62 miles southeast of Sarra. Among the passengers was Yasser Arafat."
"April 10, 1992",?,"Off Orchid Island, Taiwan",Taiwan Airlines,?,?,Britten Norman BN-2A-26 Trislander,B-11116,2007,10   (passengers:8  crew:2),7   (passengers:6  crew:1),0,"Crashed into the sea after losing the No. 1 engine after reaching 1,500 feet after takeoff."
"April 14, 1992",?,"Nairobi, Kenya",Military - Kenyan Air Force,?,Nairobi - Laikipia,de Havilland DHC-5 Buffalo,218,125,46   (passengers:42  crew:4),46   (passengers:42  crew:4),6,The left engine failed while taking off from Eastleigh Air Base. The pilot attempted to return but poor visibility caused him to overshoot the runway. He tried to realign himself but stalled and crashed to the ground.
"April 16, 1992",?,"Near Goroka, Papua New Guinea",Talair,709,Madang - Goroka,Embraer 110P1 Bandeirante,P2-RDS,110- 355,15   (passengers:13  crew:2),11   (passengers:9  crew:2),0,"Crashed into mountains at Daulo Pass, 10km from its destination while on approach in poor weather."
"April 22, 1992",1109,"Perris Valley, California",Perris Valley Aviation,?,Local,de Havilland Canada DHC-6 Twin Otter 200,N141PV,141,22   (passengers:20  crew:2),16   (passengers:14  crew:2),0,"The plane, carrying parachutists, lost power and crashed 200 ft. past the runway. The pilot's inadvertent feathering of the wrong propeller following an engine power loss and the failure of the operator to assure that the pilot was provided with adequate training in the airplane. Water contamination of fuel in the airport storage tanks. Lack of fuel quality control procedures.  Improper fuel servicing and exceeding the gross weight forward center of gravity limits of the airplane."
