Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 02, 1980",?,Haiti,Haïti Air Inter,?,Port au Prince - Cape Haitien,Britten Norman BN Islander,HH-CNC,474,9   (passengers:8  crew:1),9   (passengers:8  crew:1),0,Struck high ground in poor visibility while en route.
"January 11, 1980",0123,Over the Atlantic Ocean,Private charter,?,Shreveport - Baton Rouge,Cessna 441 Conquest,N442NC,?,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,"The plane was on a 45 minute fight from Shreveport to Baton Rouge Louisiana. The aircraft climbed past its assigned altitude and veered to the northeast. The FAA  tried to contact the aircraft without success. Fighter jets was scrambled to intercept the plane but observed no one at the controls and got no response to radio calls. The plane rose to an altitude of 41,600 feet and headed out to sea. The plane eventually ran out of fuel, descended to about 25,000 feet, went into a spin and crashed into 1,100 feet of water. No wreckage or remains were ever recovered. The official cause remains unknown although it is believed the occupants lost consciousness due to oxygen deprivation. Louisiana State University football coach Robert ""Bo"" Rein, 34, was killed."
"January 14, 1980",1400,"Shungnak, Alaska",Ambler Air Service,?,"Ambler, AK - Kobuk, AK",Cessna 185A,N1690Z,185-0490,9   (passengers:8  crew:1),7   (passengers:6  crew:1),0,Crashed. Continued VFR flight into adverse weather conditions.
"January 21, 1980",1910,"Elburz Mtns., near Tehran, Iran",Iran Air,291,Babol Sar - Tehran,Boeing B-727-86,EP-IRD,19817/537,128   (passengers:120  crew:8),128   (passengers:120  crew:8),0,"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named ""Shiraz."""
"January 23, 1980",?,"Mt. Cemonyet,  Indonesia",Pelita Air Service,?,Bandung - Jakarta,CASA 212 Aviocar 100,PK-PCX,45/3N,13   (passengers:10  crew:3),13   (passengers:10  crew:3),0,"Hit high ground at 2,700 ft. in poor weather while on approach."
"January 24, 1980",0620,"Near Mandalay, Burma",Military - Union of Burma Air Force,?,Mandalay - Rangoon,Fairchild FH-227H,5003,545,44   (passengers:?  crew:?),43   (passengers:?  crew:?),0,Crashed into a building while attempting an emergency landing following the loss of one engine.
"February 03, 1980",?,"Baracoa, Cuba",Cubana de Aviacon,?,Moa - Baracoa,Yakovlev YAK-40,CU-T1219,9840959,37   (passengers:33  crew:4),1   (passengers:1  crew:0),0,Crashed while attemping to land.
"February 21, 1980",0850,"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,?,"Leeville, LA - Grand Isle, LA",Sikorsky S-62A,N442Y,62033,7   (passengers:6  crew:1),6   (passengers:6  crew:0),0,"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed."
"February 21, 1980",1909,"Sydney, NSW, Australia",Advance Airlines,?,Sydney - Tomora,Beechcraft Super King Air 200,VH-AAV,BB-0245,13   (passengers:12  crew:1),13   (passengers:12  crew:1),0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.
"February 22, 1980",?,"Near Agra, India",Military - Indian Air Force,?,?,Fairchild C-119G,?,?,47   (passengers:?  crew:?),46   (passengers:?  crew:?),1,A bicyclist riding on the runway led the pilot to initiate a premature liftoff resulting in a stall. The plane was carrying paratroopers.
