Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 01, 1966",0530,"Kamchatsky, Russia",Aeroflot,?,Magadan - Petropavlovsk-Kamchatsky,Ilyushin IL-14P,CCCP-61618,602108,23   (passengers:18  crew:5),23   (passengers:18  crew:5),0,Crashed due to engine failure due to the destruction of the cylinder head number 12.
"January 01, 1966",?,"Near Palembang, Sumatra, Indonesia",Garuda  Indonesia Airlines / Garuda Indonesia Airlines,?,Medan - Palembang,Douglas DC-3 / Douglas DC-3,PK-GDU/PK-GDE,13463 / 19719,34   (passengers:26  crew:8),34   (passengers:26  crew:8),0,Midair collision between two Garuda aircraft. Both crashed into a swamp while approaching Palembang. Seventeen died on each aircraft.
"January 09, 1966",1822,"Chipaque, Cundinamarca, Colombia",Satena,?,Tres Esquinas - Bogota,DC3(C47),FAC-675,?,11   (passengers:11  crew:2),11   (passengers:11  crew:2),0,Unknown.
"January 14, 1966",1507,"Shamurat, Uzbekistan",Aeroflot,?,Nurata - Samarkand,Antonov AN-2,CCCP-02185,1122 473 05,11   (passengers:9  crew:2),11   (passengers:9  crew:2),0,The aircraft hit the slope of a mountain 3.4 km from Shamurat. Crew who decided to continue the flight in below-minima weather conditions.
"January 15, 1966",2055,"Off Cartagena, Colombia",AVIANCA,4,Bogata - Crespo,Douglas DC-6-54B,HK-730,18325,64   (passengers:60  crew:4),56   (passengers:52  crew:4),0,Crashed shortly after taking off. The plane rose less than 100 ft. and then crashed into shallow water.  Possible engine failure. Maintenance error and inadequate inspections.
"January 17, 1966",10:30,"Palomares, Spain",Military - US Air Force,?,GS Johnson AFB NC  - Soviet Border - GS Johnson AFB,Boeing B52 Stratofortress/Boeing KC 135A,580256/61-0273,464324/18180,11   (passengers:0  crew:11),7   (passengers:0  crew:7),0,"The 1966 Palomares B-52 crash, also called the Palomares incident, occurred, when a B-52G bomber of the United States Air Force's Strategic Air Command collided with a KC-135 tanker during mid-air refueling at 31,000 feet over the Mediterranean Sea, off the coast of Spain. The KC-135 was completely destroyed when its fuel load ignited, killing all four crew members. The B-52G broke apart, killing three of the seven crew members aboard.
At the time of the accident, the B-52G was carrying four B28FI Mod 2 Y1 thermonuclear (hydrogen) bombs, all of which fell to the surface. Three were found on land near the small fishing village of Palomares in the municipality of Cuevas del Almanzora, Almería, Spain. The non-nuclear explosives in two of the weapons detonated upon impact with the ground, resulting in the contamination of a 0.77-square-mile area with radioactive plutonium. The fourth, which fell into the Mediterranean Sea, was recovered intact after a search lasting 2 1/2  months."
"January 22, 1966",?,"Port-au-Prince, Haiti",COHATA,?,Les Cayes -Jérémie,Douglas DC-3,N4662,?,35   (passengers:28  crew:7),30   (passengers:23  crew:7),0,Crashed into a mountain  5 minutes after taking off from Las Cayee.
"January 24, 1966",0802,"Mont Blanc, French Alps, Switzerland",Air India,101,Bombay - Beirut  - Geneva - Paris - London -New York,Boeing B-707-437,VT-DMN,18055/200,117   (passengers:106  crew:11),117   (passengers:106  crew:11),0,"The aircraft was told to hold at 1,000 ft. above the clouds  before landing at Geneva  but descended below the minimum safe altitude and crashed into Mont Blanc. With a malfunctioning No. 2 VOR the crew thought they had already passed Mt. Blanc. Miscalculation by the crew on their position and the phraseology used by the controller in relay the aircraft's position. Hambi Bhabha, father of India's nuclear program killed. The aircraft was named Kanchenjunga. Remains found 7/2017"
"January 25, 1966",1015,"Near Binh Khe, South Vietnam",Military - U.S. Air Force,?,?,Fairchild C-123B,54-0702,20151,46   (passengers:42  crew:4),46   (passengers:42  crew:4),0,"Struck trees inverted, 10 minutes after taking off from An Khe airfield. Evidence was found of a fire in the No. 2 engine."
"January 28, 1966",1750,"Bremen, Germany",Lufthansa,005,Frankfurt - Bremen,Convair CV-440-0,D-ACAT,464,46   (passengers:42  crew:4),46   (passengers:42  crew:4),0,Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.
