Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 02, 1961",?,"Ruzyne, Czechoslovakia",Ceskoslovenske Aerolinie,?,Training,Avia 14,OK-MCZ,105807110,10   (passengers:5  crew:5),10   (passengers:5  crew:5),0,"Unable to gain altitude, the aircraft crashed into power cables during takeoff."
"January 03, 1961",0740,"Koivulahti, Finland",Finnair,311,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25   (passengers:22  crew:3),25   (passengers:22  crew:3),0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight."
"January 19, 1961",2025,"New York, New York (Idlewild)",Aeronaves de Mexico,401,New York - Mexico City,McDonnell Douglas DC-8-21,XA-XAX,45432/105,106   (passengers:97  crew:9),4   (passengers:0  crew:4),0,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on."
"January 22, 1961",0304,Midway Island Naval Air Station,Military - U.S. Navy,?,Survey,Lockheed WV-2 Super Constellation,BU143193,4467,22   (passengers:0  crew:22),6   (passengers:0  crew:6),3,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing gear was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned."
"January 24, 1961",1048,"Mt. Burangrang, Indonesia",Garuda Indonesia Airlines,424,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21   (passengers:16  crew:5),21   (passengers:16  crew:5),0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.
"January 24, 1961",1230,"Goldsboro, North Carolina",Military - US Air Force,?,Seymour Johnson - Seymour Johnson,Boeing B-52G Stratofortress,58-0187,464255,8   (passengers:0  crew:8),3   (passengers:0  crew:3),0,"A fuel leak occurred in the right wing while cruising at high altitude. The crew decided to divert to Seymour Johnson AFB  but on final, the right wing detached. The airplane crashed in a huge explosion in a field, 12 miles from the runway threshold. The aircraft was carrying two Mark 39 thermonuclear bombs that were later recovered however, most of the ther thermonuclear stage, containing uranium and plutonium,of the second bomb was left in place. It wasn't until 2013 that documents and information relating this accident were declassified by the US government."
"January 26, 1961",0330,"Trinity Bay, Newfoundland",Military - U.S. Air Force,?,Kenitra - Lajes - Argentia - Norfork,Douglas C-118A Liftmaster,51-17626,43670,23   (passengers:13  crew:10),23   (passengers:13  crew:10),0,"While approaching Argentia-Bristol Field, the  aircraft crashed into the Trinity Bay about 50 km northeast of Argentia. It is believed the aircraft disintegrated in the air possibly following a mechanical issue. However, due to a lack of evidence,  it was not possible to determine the exact cause of the accident."
"January 28, 1961",1220,"Off Montauk Point, New York",American Airlines,?,Training,Boeing 707-123,N7502A,17629/8,6   (passengers:0  crew:6),6   (passengers:0  crew:6),0,"The aircraaft banked left, entered a dive and eventually crashed into the ocean five miles off shore."
"February 03, 1961",2355,"Off Surabaya, Indonesia",Garuda Indonesia Airlines,542,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26   (passengers:21  crew:5),26   (passengers:21  crew:5),0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.
"February 15, 1961",1005,"Near Brussels, Belgium",Sabena,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72   (passengers:61  crew:11),72   (passengers:61  crew:11),1,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers."
