Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 06, 1977",1705,"Near Palm Springs, California",Jet Avia Charter,?,Palm Springs - Las Vegas,Gates Learjet 24B,N12MK,24B-192,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,"The plane took off from Palm Springs Municipal Airport in light rain, bound for Las Vegas Nevada. The plane climbed to 9,000 feet but never changed its runway heading and flew directly into a mountain at an altitude of 9,700 feet. Flight crew's misinterpretation of an IFR clearance issued by the Palm Springs Departure Control and subsequent ATC instructions.  Natalie ""Dolly"" Sinatra, 82, mother of entertainer Frank Sinatra and her traveling companion were killed."
"January 13, 1977",1814,"Near Alma Ata,  Kazakastan, USSR",Aeroflot,3843,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,90   (passengers:82  crew:8),90   (passengers:82  crew:8),0,"The aircraft was preparing to land when it was informed by the tower that its left engine was on fire. Shortly thereafter, the plane exploded and crashed 2 miles short of the runway."
"January 13, 1977",0636,"Anchorage, Alaska",Japan Air Lines,?,"Mosses Lake, WA - Tokyo, Japan",Douglas DC-8,JA8054,46148/553,5   (passengers:0  crew:5),5   (passengers:0  crew:5),0,The cargo plane crashed while attempting to take off. Alcoholic impairment of captain. Flightcrew members did not prevent captain from attempting to fly. Blood alcohol of 0.21.
"January 14, 1977",?,"Terrace, BC, Canada",Northern Thunderbird Air Ltd.,?,Prince George - Prince Rupert,de Havilland Canada DHC-6 Twin Otter 300,C-GNTB,463,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,Crashed into Little Herman Mountain while on approach.
"January 15, 1977",0905,"Kalvesta, Sweden",Skyline Sweden,618,Malmo - Bromma,Vickers Viscount 838,SE-FOZ,372,22   (passengers:19  crew:3),22   (passengers:19  crew:3),0,"The aircraft suddenly dove to the earth into an apartment parking lot from an altitude of 1,150 feet. Icing of the stabilizer leading to stabilizer stall. The No.2 and No.3 engines had been running with reduced power and the anti-icing system temperature was too low."
"January 20, 1977",?,?,North Canada Air,?,?,Bristol 170 Freighter 31M,C-FWAD,13253,2   (passengers:0  crew:2),1   (passengers:0  crew:1),0,The cargo plane stalled nearly vertical and crashed. Shifting cargo.
"February 11, 1977",?,"Bratislava, Slovakia",Ceskoslovenské Aerolinie,?,?,Avia 14T,OK-OCA,190013167,5   (passengers:2  crew:3),4   (passengers:2  crew:2),0,The cargo plane crashed short of the runway while attempting to land. Failure to follow the prescribed flight path and decision height in marginal weather.
"February 15, 1977",2317,"Mineralnye Vody, Russia",Aeroflot,5003,Tashkent - Mineralnyye Vody,Ilyushin IL-18V,CCCP-75520,183006703,98   (passengers:92  crew:6),77   (passengers:76  crew:1),0,"Stalled and crashed after the crew executed a missed approach. Failure of the crew to adopt a proper go-around configuration after a missed approach. The loss of control during initial climb was the result of a premature raise of the flaps, which caused the aircraft to reach a critical angle of attack and to stall."
"February 28, 1977",?,"Near Saglouc, Canada",Survair,?,?,Douglas DC-3,C-FNAR,13154,10   (passengers:7  crew:3),4   (passengers:2  crew:2),0,Crashed in whiteout conditions. Possible spatial disorientation on final.
"March 01, 1977",?,"Off Aden, Yemen",Alyemda,?,Aden - Al Kari,Douglas DC-3,7O-ABF,13475,21   (passengers:17  crew:3),19   (passengers:16  crew:3),0,Crashed into the ocean. Engine failure.
"March 03, 1977",1500,"Near Cascina, Italy",Military - Italian Air Force,?,Training,Lockheed C-130H,MM61995,4491,44   (passengers:38  crew:6),44   (passengers:38  crew:6),0,The aircraft crashed into cloud obscured  Mt. Serra shortly after taking off from San Giusto Airport at Pisa. The plane was seen making a evasive maneuver before slamming into the mountain peak.
"March 04, 1977",0335,"Niamey, Niger",Overseas National Airways,?,"Paris, France - Niamey, Nigher",McDonnell Douglas DC-8-63CF,N8635,46050/430,4   (passengers:0  crew:4),2   (passengers:0  crew:2),0,The cargo plane crashed short of the runway while attempting to land.  The crew continued the approach below the glide until impact with ground.
"March 27, 1977",1707,"Tenerife, Canary Islands",Pan American World Airways / KLM,1736/4805,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,N736PA/PH-BUF,19643/11 / 20400/157,644   (passengers:614  crew:30),583   (passengers:560  crew:23),0,"Both aircraft were diverted to Tenerife because of a bombing at Las Palmas Airport. After an extended delay,  both planes were instructed to back track up the runway. The KLM plane reached its takeoff point while the Pan Am plane was still on the runway. The Pan Am plane continued up the runway missing the taxiway turnout. There was heavy fog on the runway. The KLM plane began its takeoff roll without permission with the Pan Am plane still on the runway. The controller and Pan Am pilot each radioed a warning to the KLM plane, but were not heard because the simultaneous transmissions interfered with each other.The KLM plane hit the Pan Am plane just as it was taking off. Both planes burst into flames.  KLM 234 + 14 crew,  Pan Am 326 + 9 crew killed. All aboard the KLM plane were killed. The KLM captain was their safety officer and for some months had  been training other pilots using a simulator, where getting takeoff permission was not simulated. The Pan Am aircraft was named Clipper Victor. The KLM aircraft was named Rhine River. Despite all the circumstances the KLM plane was blamed for taking off without permission by the NTSB."
"March 29, 1977",?,"Bainaha Valley, Indonesia",Merpati Nusantara Airlines,?,Palu - Toli Toli,de Havilland Canada DHC-6 Twin Otter 300,PK-NUP,486,23   (passengers:20  crew:3),15   (passengers:13  crew:2),0,"After spotting a mountain in front of him, the pilot applied full power and went into a steep climb. The plane stalled and crashed into trees."
"March 30, 1977",0839,"Near Zhadanof, Russia",Aeroflot,H-925,Dnepropetrovsk - 	Zhdanov,Yakovlev YAK-40,CCCP-87738,9010310,27   (passengers:23  crew:4),8   (passengers:5  crew:3),0,"The crew continued their visual approach after entering an area of fog with visibility less than 500 m and losing sight of the ground. After deciding to go around, the right wing hit a 9-meter high pole. The wing caught fire and the number 2 engine failed. The fuselage hit the ground sideways in a field about 1,500 meters from the runway. The plane broke up and caught fire. The pilot-in-command decided to continue the approach below the glide under VFR mode in IMC conditions."
"April 04, 1977",1619,"New Hope, Paulding County, Georgia",Southern Airways,242,Huntsville - Atlanta,McDonnell Douglas DC-9-31,N1335U,47393/608,85   (passengers:81  crew:4),62   (passengers:60  crew:2),8,The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The pilots thought they were heading for a hole in the storm when in fact they were heading for the heaviest precipitation. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. The hail clogged bleeder valves in the engines causing multipe engine surges until the compressors tore apart. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.
"April 10, 1977",?,"SW of Bogota, Colombia",El Venado,?,Villavicencio - Bogota,Douglas DC-3-3A,HK-556,4958,35   (passengers:31  crew:4),35   (passengers:31  crew:4),0,Crashed on the slopes of the Rio Guape mountains. Found 1 month later. Deviation from course.
"April 19, 1977",?,"Tapa AFB, Estonia",Military - Soviet Air Force,?,Parnu - Tapa,Antonov An-24,?,?,21   (passengers:15  crew:6),21   (passengers:15  crew:6),0,Crashed into a building while attempting to land in snow and poor visibility.
"April 27, 1977",?,"Guatemala City, Guatemala",Aviateca,?,?,Convair CV-440,TG-ACA,143,28   (passengers:22  crew:6),28   (passengers:22  crew:6),0,Failure of the No. 1 engine due to lack of oil. Mantenance error. Incorrectly connected high pressure oil hose.
"May 10, 1977",2030,"Near Jericho, Jordan",Military - Israel Air Force,?,?,Sikorsky CH-53D (helicopter),360,?,54   (passengers:50  crew:4),54   (passengers:50  crew:4),0,Crashed and exploded in the desert shortly after taking off . Crew error. Flight at an unsafe altitude into an area of unfamiliar terrain.
