Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 02, 1973",0834,"Edmonton, Alberta, Canada",Pacific Western Airlines,?,Toronto - Edmonton,Boeing 707-321C,CF-PWZ,18826/389,5   (passengers:0  crew:5),5   (passengers:0  crew:5),0,"Landing in poor visibility, turbulence and snow, the cargo plane came in for a landing at a high sink rate. The captain took over the controls to try to arrest the sink rate but the plane crashed into trees, a powerline and finally into a ridge short of the runway. The plane broke in two and was destroyed by fire."
"January 19, 1973",1431,"Near Glasgow, Scotland",British European Airways,?,Test flight,Vickers 802 Viscount,G-AOHI,158,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,Crashed into Ben More mountain. The pilot did not maintain a safe altitude and gave insufficient attention to navigation when flying VFR into an area of snow covered high ground in marginal weather conditions.
"January 21, 1973",2356,"Perm, Russia",Aeroflot,?,Kazan - Perm,Antonov An-24B,CCCP-46276,77303609,39   (passengers:34  crew:5),39   (passengers:34  crew:5),0,"The plane went into a spiral dive. As the crew tried to pull the plane out, it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued. Cause unknown."
"January 22, 1973",0930,"Kano, Nigeria",Alia Royal Jordanian Airlines,?,Jeddah - Lagos,Boeing B-707-3D3C,JY-ADO,20494/850,202   (passengers:193  crew:9),176   (passengers:170  crew:6),0,The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire. Wake turbulence during the landing.
"January 27, 1973",?,"Near Tegucigalpa, Honduras",TAN,?,Miami - Tegucigalpa,Douglas DC-6A,HR-TNO,45476/977,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The cargo plane crashed and burned ten miles from the destination airport.
"January 29, 1973",?,"Near Kyrenia, Cyprus",Egyptair,741,Cairo - Nicosia,Ilyushin IL-18D,SU-AOY,188011101,37   (passengers:30  crew:7),37   (passengers:30  crew:7),0,Crashed into the Kyrenia Mountains while on approach. Controlled flight into terrain.
"February 19, 1973",1006,"Prague, Czechoslovakia",Aeroflot,?,Moscow - Praha,Tupolev TU-154,CCCP-85023,023,100   (passengers:87  crew:13),66   (passengers:62  crew:4),0,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane. Official cause unknown
"February 19, 1973",0915,"Morgan City, Louisiana",Petrolium Helo Inc.,?,"Oil platform - Morgan City, LA",Bell 206B,N14831,?,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,"Crashed after the failure of the main rotor.  Pylon support link failed due to fatigue, causing complete failure of the main rotor."
"February 21, 1973",?,"Cerro Horqueta, Panama",Aerovias Urraca,?,David - Changuinola,Douglas DC-3,HP-560,19242,28   (passengers:25  crew:3),22   (passengers:19  crew:3),0,Flew into Cerro Horqueta Mountain. Controlled flight into terrain.
"February 21, 1973",1410,"Near Isma'iliya, Egypt",Libya Arab Airlines,114,Tripoli - Cairo,Boeing B-727-224,5A-DAH,20244/650,113   (passengers:104  crew:9),108   (passengers:100  crew:8),0,"While en route from Tripoli to Cairo, the aircraft drifted over Israeli territory due to strong tailwinds and was shot down by Israeli Phantom fighters. After being hit, a fire broke out and the crew attempted to make an emergency landing in the desert but crashed and burst into flames. Cairo approach control radar and beacon not functioning."
