Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 14, 1936",?,"Tres Esquinas, Colombia",Military - Fuerza Aerea Colombiana,?,?,Junkers JU-52,624,?,16   (passengers:13  crew:3),13   (passengers:10  crew:3),0,The float plane crashed after experiencing unknown technical difficulties while attempting to land.
"January 14, 1936",1932,"Goodwin, Arkansas",American Airlines,1,Newark - Memphis - Little Rock - Dallas - Los Angeles,Douglas DC-2-120,NC14274,1307,17   (passengers:14  crew:3),17   (passengers:14  crew:3),0,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls."
"January 17, 1936",?,"Near Cordillera, Boliva",Lloyd Aereo Boliviano,?,Cochabamba - La Paz,Junkers JU-52,?,4018,13   (passengers:10  crew:3),13   (passengers:10  crew:3),0,"Crashed into a mountain near the village of Tapacari, 23 miles from Chochabanba."
"January 21, 1936",1000,"Off Ajaccio, Corsica, France",Air France,?,Marseille - Ajaccio - Tunis,CAMS 53,F-AJIR,19,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,Vanished off the coast of Corsica after sending a distress call that the engine had failed.
"January 29, 1936",?,"Denton, Texas",American Airlines,?,Chicago - Oklahoma City,Vultee V-1,NC13767,05,6   (passengers:5  crew:1),1   (passengers:0  crew:1),0,Crashed into a clump of trees while attempting a landing in a snowstorm.
"February 10, 1936",?,Atlantic Ocean,Air France,?,"Natal, Brazil - Dakar, Senegal",Latecoere 301 (flying boat),F-ANLE,1016,6   (passengers:1  crew:5),6   (passengers:1  crew:5),0,"Disappeared over the Atlantic ocean during a storm. The aircraft was never found. The aircraft was named ""Ville de Buenos Aires."""
"February 15, 1936",0352,South Atlantic Ocean,Deutsche Lufthansa,?,Rio de Janerio - Berlin,Dormier Do-J-Iif Bos Wal flying boat,D-ADYS,229,4   (passengers:0  crew:4),4   (passengers:0  crew:4),0,The mail plane disappeared while en route.
"March 05, 1936",?,"Near Tengya, China",China National Aviation Corporation,?,?,Ford 5-AT-D Tri-Motor,?,?,6   (passengers:3  crew:3),0   (passengers:0  crew:0),0,Crash landed in mountains during a snowstorm.
"March 14, 1936",?,"Ovalle, Chile",Lan Chile,?,?,Fairchild FC-2,19,?,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Went out of control while taking off and crashed in a rivine.
"March 26, 1936",1100,"Amemeca, Mexico",Mexicana,?,Mexico - Guatemala,Ford 5-AT-B Tri Motor,XA-BCB,5-AT-012,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,"While making a turn at low speed, the aircraft stalled and crashed into mountains and caught fire.  The plane was carrying mainly German tourists. Possibly caught in a down draft when flying too low to the ground."
"April 01, 1936",1910,"Pavillon, New York",American Airlines,?,Newwark - Buffalo,Stinson Model A,NC15152,9112,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.
"April 07, 1936",1020,"Uniontown, Pennsylvania",Trans Continental and Western Air,1,Newark - Los Angeles,Douglas DC-2-112,NC13721,1247,14   (passengers:11  crew:3),12   (passengers:10  crew:2),0,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio."
"April 11, 1936",0520,"Port of Spain, Trinidad",Pan American Airways,?,Miami - Rio de Janeiro,Sikorsky S-42A  Flying Boat,NC1537,4204,25   (passengers:18  crew:7),3   (passengers:2  crew:1),0,"Crashed  while taking off after the plane hit a boat . The aircraft was shipped to Miami and repaired. One of the injured passengers was Jose Iturbi, well known conductor and  pianist."
"April 15, 1936",?,"Near Turin, Italy",Avio Linee Italiane,?,Turin - Milan,OFM F-VIIb/3m,I-AAXZ,359,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"Crashed on the slopes of Mount Basso, 20 miles from Turin."
