Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 08, 1996",?,"Off Bridgetown, Barbados",Mustique Airways,?,Union Island - Bridgetown,Britten-Norman BN-2A-27 Islander,J8-VAK,436,10   (passengers:9  crew:1),1   (passengers:1  crew:0),0,After losing an engine the plane began to lose altitude and ditched in the Atlantic Ocean 30 km southwest of Bridgetown.
"January 08, 1996",1243,"Kinshasa, Zaire",African Air,?,Kinshasa - Kahemba,Antonov AN-32B,RA-26222,2301,6   (passengers:0  crew:6),2   (passengers:0  crew:2),225,"The aircraft failed to gain altitude after taking off from N'Dolo Airport and ran off the runway and crashed into a market square. The plane was overloaded by 595 lbs. The aircraft certification was revoked and crew did not have authorization to fly. The number killed on the ground varies widely from different sources. The number of fatalities, 225, is derived from the publication Weekly Mail and Guardian in an article covering the court trial of the pilots, charging them with the deaths of 225 people. Some sources quote as many as 350 died."
"January 18, 1996",2020,"Near Kano, Nigeria",Military - Nigerian Air Force,?,Lagos - Kano,British Aerospace BAe-125-700B,5N-AXO,257196,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,Crashed 4.5 miles short of the runway while making an approach to Kano. Claimed to be shot down by the United Front for Nigeria's Liberation.
"January 22, 1996",1200,"Off Point Pedro, Sri Lanka",Military - Sri Lanka Air Force,?,?,Mil Mi-17 (helicopter),CH-587,?,39   (passengers:?  crew:?),39   (passengers:?  crew:?),0,Shot down by Tamil rebels and crashed into the Indian Ocean.
"February 04, 1996",1412,"Asuncion, Paraguay",Lineas Aereas del Caribe,?,Asuncion - Campina Grande,McDonnell Douglas DC-8-55F,HK-3979X,45882/282,4   (passengers:1  crew:3),4   (passengers:1  crew:3),24,"The No. 1 engine failed or power was reduced after takeoff followed by loss of the second engine. With the gear down and flaps extended,  the crew lost control of the aircraft and crashed 1.2 miles past the runway into a soccer field killing 24 on the ground. Pilot error. Incorrect procedure by the crew following No. 1 engine failure."
"February 05, 1996",0950,"St. Johns, Arizona",Business Air Connection,?,"St. Johns, AZ - Brownsville, TX",ConvairCV-440,N131T,338,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,"The cargo plane was unable to gain altitude while attempting to takeoff, overran the runway and hit power lines and a conrete barrier. Inadequate pre-flight planning and preparation by the PIC, his failure to ensure the aircraft was properly loaded within limitations, his failure to use proper flaps for takeoff, his failure to use ADI (Antidetonation Injection) assisted takeoff, and his resultant failure to attain sufficient airspeed to climb after takeoff. Factors relating to the accident were: the high density altitude, and the PIC's lack of experience in the make and model of airplane."
"February 06, 1996",2347,"Off Puerto Plata, Domincan Republic","Alas Nacionales, leased from Birgen Air",301,Puerto Plata - Gander,Boeing B-757-225,TC-GEN,22206/31,189   (passengers:176  crew:13),189   (passengers:176  crew:13),0,"The plane crashed into the Atlantic Ocean, 21 km north of Puerto Plata, shortly after taking off. Incorrect airspeed indications resulting from a clogged pitot tube. The readings were greater than the actual airspeed resulting in the crew reducing  power and leading to a stall. Failure of the crew to recognize the activation of the control column shaker as a warning of an imminent stall. Failure of the crew to carry out the procedures to recover the aircraft from the stall and restore lift."
"February 11, 1996",?,"Near Kandahar, Afghanistan",Military - Taliban Militia,?,?,?,?,?,20   (passengers:?  crew:?),20   (passengers:?  crew:?),0,The helicopter was shot down.
"February 12, 1996",1201,"Port-au-Prince, Hati",Hati Express,?,Port-au-Prince - Cap Haitien,GAF Nomad N-24A,N224E,62,15   (passengers:13  crew:2),11   (passengers:9  crew:2),0,"Shortly after lifting off of the ground, the aircraft rolled to the right and struck the ground ending up inverted in a ditch."
"February 26, 1996",1900,"Near Jabal Awliya, Sudan",Military - Sudanese Air Force,?,El Obeid - Khartoum,Lockheed C-130H,?,?,91   (passengers:85  crew:6),91   (passengers:85  crew:6),0,Crashed SW of Khartoum while attempting an emergency landing after reporting an in-flight out of control fire.
"February 27, 1996",0540,"Near Lukapa, Angola",Aero Tropical,?,Ludana - Lukapa,Antonov 12BP,ER-ACE,402812,8   (passengers:3  crew:5),8   (passengers:3  crew:5),0,The cargo plane crashed in rain and poor visibility while on approach.
"February 29, 1996",2025,"Arequipa, Peru",Compania de Aviacion Faucett SA (Peru),251,Lima - Arequipa,Boeing B-737-222,OB-1451,19072/86,123   (passengers:117  crew:6),123   (passengers:117  crew:6),0,"The aircraft crashed into a hillside several miles from the airport while attempting to land. The pilot reported flying at 9,500 ft. when the aircraft was actually flying 8,640 ft. Controlled flight into terrain."
"March 09, 1996",?,"Near Mesones Muro, Peru",Military - Peruvian Army Aviation,?,Condorcanqui - Bagua,Mil Mi-17,EP561,?,23   (passengers:?  crew:?),23   (passengers:?  crew:?),0,Crashed and exploded north of it's destination in heavy fog after flying into a mountain ridge.
"March 12, 1996",?,"Karabogazgol Bay, Turkmenistan",Akhal Air,?,?,Mil Mi-8T (helicopter),EZ-22684,8142,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,Crashed into the sea while approaching an oil rig to land in strong winds.
