Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 09, 1983",?,"Brainerd, Minnesota",46826/109,927,Minneapolis-St Paul - Brainerd,Convair 580-11A,N844H,327A,33   (passengers:30  crew:3),1   (passengers:1  crew:0),0,"The plane landed 1,725 feet beyond the runway threshold, right wing down, veered to the right until the right propeller struck a 2 to 3 foot snow bank. The blade separated from the engine and penetrated the cabin. Proper alignment not attained by pilot in command. Terrain condition, snow bank. Lack of NOTAM. Improper snow removal."
"January 11, 1983",0250,"Detroit, Michigan",United Air Lines,2885,Detroit - Los Angeles,McDonnell Douglas DC-8-54F37,N8053U,46010/406,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,"After taking off the cargo plane rolled to the right with wings vertical to the ground until it crashed into a field. The flight crew's failure to follow procedural checklist requirements and to detect and correct a mistrimmed stabilizer before the aircraft became uncontrollable. Contributing to the accident was the captain allowing the second officer, who was not qualified to act as a pilot, to occupy the seat of the first officer and to conduct the take-off."
"January 16, 1983",2230,"Ankara, Turkey",Turkish Airlines (THY),?,Paris-Tripoli-Istanbul-Ankara,Boeing B-727-2F2,TC-JBR,21603/1389,67   (passengers:60  crew:7),47   (passengers:47  crew:0),0,"The flight originated in Tripoli and stopped in Istanbul before beginning a 40-minute flight to Ankara's Esenboga Airport. The aircraft crashed short of the runway in fog, snow and poor visibility. Windshear."
"February 13, 1983",?,"Fayetteville, North Carolina",Military - U.S. Air Force,?,?,Lockheed C-130H Hercules,74-1693,4693,6   (passengers:0  crew:6),6   (passengers:0  crew:6),0,An overheated APU led to a fire and loss of control of the aircraft.
"March 09, 1983",?,"Off Macae, Brazil",Aeroleo Taxi Aereo,?,?,Bell 212,PT-HJN,30761,11   (passengers:?  crew:?),11   (passengers:?  crew:?),0,Crashed into the sea.
"March 10, 1983",?,"Near Shach Goan, Afghanistan",Bakhtar Afghan Airlines,?,Uruzgan-Kaboul,de Havilland Canada DHC-6 Twin Otter 300,YA-GAZ,395,19   (passengers:17  crew:2),19   (passengers:17  crew:2),0,"Pilot decided to climb and continue to fly VFR in deteriorating weather. The plane crashed in an area of rain, turbulence and thunderstorms. Continued VFR flight in poor weather and a physical impairment due to lack of oxygen when flying at high altitude."
"March 11, 1983",0700,Barquisimeto Venezuela,Avensa,?,Caracas - Barquisimeto,McDonnell Douglas DC-9-32,YV-67C,47025/106,50   (passengers:45  crew:5),23   (passengers:22  crew:1),0,"The aircraft landed past the runway threshold, experienced a hard landing in fog, slid off the runway and broke up. Improper in-flight decisions and inadequate supervision of the flight."
"March 30, 1983",0514,"Newark, New Jersey",Central Airlines,?,Chicago - Newark,Learjet 25,N51CA,25-030,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,"While attempting to land, the cargo plane came in too steep and fast, bounced on landing, crashed and burned. Loss of control following ground contact due to anunstabilized approach. Impairment of the flightcrew's judgment, decision making and flying abilities by a combination of physioIogical and psychological factors."
"April 07, 1983",1455,"Selawik, Alaska",Munz Northern Airlines,601,Nome - Ambler,Britten-Norman BN-2A-8 Islander,N37MN,558,3   (passengers:2  crew:1),2   (passengers:1  crew:1),0,Lost control of the aircraft and crashed in a snow storm. Continued VFR flight in IFR conditions.
"April 16, 1983",?,"Near Khartoum, Sudan",Air Liberia,?,Khartoum-Monrovia,Hawker Siddeley HS-748-329 Srs. 2A,EL-AIH,1755,9   (passengers:6  crew:3),8   (passengers:5  crew:3),9,The No.2 engine failed during climbout forcing a return to the airport. While on the  base leg the aircraft lost altitude and crashed. High Pressure fuel pump shaft broke due to pump seizure. The remaining engine could not produce enough power because the fuel datum trimmer wasn't reset in accordance with the flight manual.
"April 19, 1983",1809,"Leninakan, Russia",Aeroflot,E-46,Nalchik - Leninakan,Yakovlev YAK-40,CCCP-87291,9320628,21   (passengers:17  crew:4),21   (passengers:17  crew:4),0,The crew deviated from course while descending to land. Navigational error. ATC procedural error in not identifying the planes position.
"April 19, 1983",0720,"Near Toba, Japan",Japan Air Self-Defence Force,?,Training,Kawasaki C-1 / Kawasaki C-1,58-1009/68-1015,8009/8015,14   (passengers:?  crew:?),14   (passengers:?  crew:?),0,"Both aircraft, flying in tandem, crashed into the side of a mountain. A third aircraft brushed trees and managed to remain airborne."
"April 26, 1983",1737,"Iwakuni AB, Japan",Military - Japan Maritime Self Defense Force,NKJ801,Training,Shin Meiwa PS-1,5801,1001,14   (passengers:0  crew:14),11   (passengers:0  crew:11),0,Crashed near an ammo depot.
"April 29, 1983",1510,"Guayaquil, Ecuador",SAN Ecuador,832,Guayaquil - Quito,Sud Aviation SE-210 Caravelle VIR,HC-BAT,125,100   (passengers:94  crew:6),8   (passengers:7  crew:1),0,One of the aircraft's engines failed shortly after takeoff and the plane landed heavily on muddy ground and broke in three.
"April 30, 1983",1209,"Jacksonville, Florida",Military - United States Navy,?,"Jacksonville NAS - Guantanamo Bay, Cuba",Convair CV-340,141010,293,15   (passengers:9  crew:6),15   (passengers:98  crew:6),0,"Crashed into St. John's River just shy of the Jacksonville Naval Air Station's main runway. Shortly after takeoff, one of the engines burst into flames and the crew was trying to make it back to the air station."
"May 05, 1983",0915,"En route Miami, FL - Nassau, Bahamas",Eastern Air Lines,855,"Miami, FL - Nassau, Bahamas",Lockheed L-1011,N334EA,1141,172   (passengers:162  crew:10),0   (passengers:0  crew:0),0,"Procedural error by maintenance crew caused O-ring seal to be left off all three engines, causing all oil to leak out in flight. One engine shut down at first sign of trouble, followed by failure of other two engines. First engine restarted at an altitude of 3,000 feet and ran long enough to make a safe landing at Miami 9 minutes later."
"May 05, 1983",1020,"Near Ban Ta Khli, Thailand",Military - Royal Thai Air Force,?,?,Fairchild C-123K,L4K-12/18,20227,30   (passengers:24  crew:6),30   (passengers:24  crew:6),0,The aircraft was preparing to land at Ban ta Khli Air Base when it was waved off because the runway was not clear. The plane plunged to earth 700 ft. past the runway. Engine failure was suspected.
"May 06, 1983",?,"Klyuchi, Russia",Military - Soviet Air Force,?,Petropavlovsk-Kamchatsky - Klyuchi,Antonov An-26,?,?,37   (passengers:31  crew:6),33   (passengers:37  crew:6),0,The flight tried to land at Klyuchi Air Base in below-minima weather conditions with heavy snowfall at night.
"June 02, 1983",0850,"Tanjung Karang, Indonesia",Garuda Indonesia Airlines,?,Bandar Lampung-Djakarta,Fokker F-28 Fellowship 3000RC,PK-GFV,11132,61   (passengers:57  crew:4),3   (passengers:1  crew:2),0,The aircraft failed to gain altitude and overran the runway. Crew did not follow checklist procedures.
"June 02, 1983",1920,"Cincinnati International Airport, Covington/Hebron, Kentucky",Air Canada,797,Dallas-Fort Worth - Toronto,McDonnell Douglas DC-9-32,C-FTLU,47196/278,46   (passengers:41  crew:5),23   (passengers:23  crew:0),0,"The plane was on a flight from Houston to Toronto with an intermediate stop at Dallas - Fort Worth.  An in-flight fire in the rear lavatory, of unknown origin, forced the plane to make an emergency landing at Cincinnati International Airport. Fatalities occurred from smoke inhalation and a flash fire that erupted when exit doors were opened. Underestimation of the fire severity and conflicting fire progress reports to the captain delayed a quicker emergency landing. Canadian folk singer Stan Rogers, 33,  killed. He was going home after attending the Kerrville Folk Festival in Texas. He died in the fire while helping other passengers to safety."
"June 06, 1983",1240,"Off Quemoy, Taiwan",Military - Republic of China Air Force,?,Kinmen-Taipei,Fairchild C-199G,?,?,47   (passengers:39  crew:8),47   (passengers:39  crew:8),0,The domestic flight crashed into the Formosa Strait after the right engine caught fire shortly after taking off.
"June 08, 1983",1355,"Near Cold Bay, Alaska",Reeve Aleutian Airways,8,"Cold Bay, Alaska - Seattle, Washington",Lockheed L-188C Electra,N1968R,2007,15   (passengers:10  crew:5),0   (passengers:0  crew:0),0,"After experiencing a strong vibration, the number 4 prop separated and struck the aircraft causing a major gash in the bottom of the aircraft. This resulted in decompression of the cabin and jamming of the flight controls. Using the autopilot, which uses separate cables, the crew was able to maintain level flight, but not turn or adjust the throttles..  As the flight crew kept trying heavy control inputs, they worked the cables loose enough to regain some control. Diverting to Anchorage, they were barely able to descend by stopping a second engine.  On the second attempt they were able to get low enough to land safely. The cause of the prop separation was not determined since it fell into the ocean"
