Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
1450,"Ixopo, South Africa",United Airways,?,Margate - Ladysmith - Johannesburg,de Havilland Dove 1,ZS-DDW,04017,12   (passengers:10  crew:2),12   (passengers:10  crew:2),0,Broke up in turbulence.
?,"Mt. Bukit, Besar,Thailand",Air Carriers,?,Butterworth - Kota Bharu,Douglas DC-3,VR-HEP,15782/32530,10   (passengers:7  crew:3),10   (passengers:7  crew:3),0,Crashed into Bukit Besar Mountain while en route.
1413,"Philadelphia, Pennsylvania",National Airlines,83,Newark - Philadelphia,Douglas DC-4-1009,N74685,43102,28   (passengers:25  crew:3),7   (passengers:6  crew:1),0,"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach."
1214,"Near Reardan, Washington",Northwest Orient Airlines,115,Minneapolis - Seattle,Martin 202,N93054,9144,10   (passengers:7  crew:3),10   (passengers:7  crew:3),0,"While cruising at 6,000 ft.,  the aircraft when out of control and into a dive, hitting the ground at 340 mph.  Officially the cause was never determined.  Possible in-flight fire, explosion, structural failure or conrol system failure."
1436,"Near Civitavecchia, Italy",Alitalia,?,Paris - Rome,Savoia Marchetti SM-95,I-DALO,10,17   (passengers:12  crew:5),14   (passengers:10  crew:4),0,"The aircraft plunged to the ground from 6,500 feet after being struck by lightning. Lightning ignited a mixture of air and fuel fumes in the fuel tank."
?,"Huilyo, Peru",Military - TAM,?,?,Douglas DC-3,?,?,?   (passengers:?  crew:?),16   (passengers:?  crew:?),?,?
0840,"Near An tung, Taiwan",Military -Royal Air Force,?,Hong Kong - Iwakuni,Short Sunderland 9 (flying boat),PP107,?,14   (passengers:7  crew:7),14   (passengers:7  crew:7),0,Crashed into mountainous terrain while en route. Most likely weather related.
1645,"Off Hafnarfjorour, Iceland",Icelandair,?,Vestmannaeyar Island - Reykjavík,Douglas DC-3,TF-ISG,12482,20   (passengers:17  crew:3),20   (passengers:17  crew:3),0,Crashed into the sea 2.5 miles north of the airport after a second landing attempt in snow. The first attempt was aborted because the runway lights were not visible. The crew attempted a second landing but contact was lost with the aircraft. Wreckage was found in the ocean 10 miles from the airport.
?,"Off Terceira, Portugal",Military - Portuguese Air Force,?,?,Douglas C-54,282,?,14   (passengers:?  crew:?),14   (passengers:?  crew:?),0,Ditched in the ocean while on approach.
1430,"Near Mt. Cameroon, Buea, British Cameroons",Air France,?,Douala - Niamey,Douglas DC-4,F-BBDO,42992,29   (passengers:23  crew:6),29   (passengers:23  crew:6),0,"Crashed into a mountain at 8,500 feet. Navigation error. Incorrect procedures followed by crew. The crew followed a different and inaccurate course."
?,"Yali, Colombia",Lineas Aéreas Nacionales,?,Medellín - Barranquilla,Curtiss C-46A,HK-333,49,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,"En route, the cargo plane hit the slope of a mountain located 12 km from Yalí."
0912,"Sioux City, Iowa",Mid Continent Airlines,16,"Kansas City, MO - Omaha, NB - Sioux City, Iowa",Douglas DC-3,N19928,7400,25   (passengers:21  crew:4),16   (passengers:13  crew:3),0,"After a missed ILS approach , the pilot stalled the plane and crashed in poor weather conditions. A stall during a left turn too close to the ground to effect a recovery. Pilot error."
