Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
1345,"Belgrad, Yugoslavia",Deutsche Lufthansa,?,Thessaloniki - Belgrade,Junkers JU-52/3m,D-ADQW,640610,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,While approaching to land the aircraft was too low and hit a hill located 16 km east of the Belgrade-Zemun Airport.
2336,"Memphis, Tennessee",American Airlines,2,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24   (passengers:21  crew:3),24   (passengers:21  crew:3),0,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined."
?,"Near Quelimane, Mozambique",DETA,?,Quelimane - Lourence Marques,Lockheed 14-H2 Super Electra,CR-AAV,?,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,Crashed and burned while taking off.
?,China,China National Aviation Corporation,?,?,Douglas C-47,75,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The cargo plane flew into a mountain
1710,"Eubeoa, Greece",Deutsche Lufthansa,?,?,Junkers JU-52/3m,D-ABAS,6561,16   (passengers:13  crew:3),16   (passengers:13  crew:3),0,"After radioing they were returning , the plane went missing and was never found."
?,New Guinea,Military - U.S. Army,?,Port Moreaby - Nadzab,Consolidated B-24 Liberator,?,?,21   (passengers:?  crew:?),21   (passengers:?  crew:?),?,Disappeared while en route on a non-combat mission. Wreckage found 39 years later on 4/30/1983.
1548,"Near Nome, Alaska",Pan American World Airways,?,Nome - Fairbanks,Pilgrim 100B,NC742N,?,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,Crashed shortly after takeoff in a snow storm. Failure of the pilot to recognize his proximity to the ground due to heavy snow which entirely covered the terrain.
?,"Belgrad, Yugoslavia",Deutsche Lufthansa,?,Vienna - Belgrade - Sofia - Thessaloniki - Athens,Junkers JU-52/3m,D-AOCA,640996,7   (passengers:4  crew:3),5   (passengers:4  crew:1),0,Shot down by allied fighters.
?,"Frederikstad, Norway",Deutsche Lufthansa,?,Copenhagen - Oslo,Douglas DC-3,D-AAIG,2095,20   (passengers:17  crew:3),9   (passengers:6  crew:3),0,Crashed  50 miles from its destination after a signal flare started an onboard fire causing the plane to ditch.
?,"Montreal, Canada",Military - Royal Air Force,?,"Montreal, Canada - European air base",Consolidated Liberator,?,?,16   (passengers:11  crew:5),16   (passengers:11  crew:5),0,Crashed into a row of houses shortly after taking off from Dorval Airport.
?,"Between Calcutta to Dinjan, China",China National Aviation Corporation,?,Calcutta - Dinjan,Douglas C-47,82,?,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,"While enroute the crew got lost and crashed into 22,000 foot mountain in Tibet. Bad weather prevented the pilot from getting a bearing on any radio station."
?,"Off Calcutta, India",China National Aviation Corporation,?,?,Douglas DC-3,?,?,14   (passengers:?  crew:?),14   (passengers:?  crew:?),0,Crashed at sea in poor weather conditions.
0115,"Barneville, France",Military - U.S. Army Air Forces,?,?,Douglas C-47A,42-93095,112969,22   (passengers:18  crew:4),22   (passengers:18  crew:4),0,Shot down by anti-aircraft fire during the Normandy invasion.
0200,"Flamanville, France",Military - U.S. Army Air Forces,?,?,Douglas C-47A,42-100905,19368,22   (passengers:17  crew:5),22   (passengers:17  crew:5),0,Shot down by anti-aircraft fire during the Normandy invasion.
0130,"Carentan, France",Military - U.S. Army Air Forces,?,?,Douglas C-47A-DL,42-101035,19498,22   (passengers:18  crew:4),22   (passengers:18  crew:4),0,Shot down by anti-aircraft fire during the Normandy invasion.
