Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 06, 1968",1827,"Near Olekminsk, Russia",Aeroflot,1668,Olekminsk - 	Lensk,Antonov An-24B,CCCP-47733,69901001,46   (passengers:39  crew:6),45   (passengers:39  crew:6),0,Entered an uncontrolled descent and crashed 92 km from Olekminsk. The cause of the accident could not be determined.
"January 08, 1968",1700,"Near Quang Tri, South Vietnam",Military - U.S. Marine Corps,?,?,Sikorsky CH-53A (helicopter),153710,?,42   (passengers:37  crew:5),42   (passengers:37  crew:5),0,Crashed into a mountain south of Dong Ha airfield.
"January 10, 1968",1400,"Near Copper Canyon, Nevada",Military - U.S. Marine Corps,?,Buckley ANGB - Seattle NAS,Douglas C-54P,50850,10427,19   (passengers:12  crew:7),19   (passengers:12  crew:7),0,"The aircraft hit Mt. Tobin 300 ft. below the peak and slid 1,000 ft. down the side of the mountain. Turbulent conditions caused the uncontrolled descent. The Salt Lake control center had, in response to its vector request, informed the crew that there were no storm cells and no reports of icing along the airway being used. As a result, the pilot was unaware that turbulence encountered would be hazardous, worse than that predicted at the time of take-off. These turbulent conditions apparently caused the uncontrolled descent of the aircraft into the ground. The pilot was technically not qualified for the type of aircraft and was aware of the general weather conditions and should have discontinued the flight.."
"January 15, 1968",0754,"Zifta, Egypt",United Arab Airlines,?,Cairo - Beirut,Douglas DC-3,SU-AJG,?,4   (passengers:0  crew:4),4   (passengers:0  crew:4),0,"Ice accretion on the lifting surface of the aircraft accompanied by moderate to severe turbulence, which resulted in loss of aircraft control by the pilot. When he tried to regain control over the aircraft the lifting surfaces were loaded beyond approved design limits, which brought about the disintegration of main parts of the aircraft in the air, and its subsequent impact with the ground."
"January 27, 1968",?,"Moroni, Comoro Islands",Air Comores,?,Dar es-Salaam - Moroni,de Havilland DH-114 Heron 1B,F-OECD,14040,16   (passengers:15  crew:1),15   (passengers:14  crew:1),0,"Touched down on the right side of the runway, bounced, crashed into landing lights and into the sea.  Inadequate supervision of the flight by the pilot-in-command. While attempting to go-around, the flaps were fully extended."
"February 07, 1968",1500,"Rohtang Pass, Northern India",Military - Indian Air Force,202,"Leh, Kashmir - Chandigarh, Punjab",Antonov AN-12BP,BL534,024003,102   (passengers:98  crew:4),102   (passengers:98  crew:4),0,"Vanished without a trace over the Himalayas while en route. The remains of one victim from the plane were found in the Rohtang Pass in August 2003. The wreckage itself and other remains would be found in August 2005. Cause unknown, but believed to be premature descent due to bad weather, resulting in a collision with a mountain. On July 15, 2012 the debris was found over Dakka Glacier by mountaineers."
"February 07, 1968",0558,"Vancouver, Canada",Canadian Pacific Air Lines,322,Honolulu - Vancouver,Boeing B-707-138B,N791SA,17698/44,61   (passengers:52  crew:9),1   (passengers:0  crew:1),1,"Visual reference was lost in fog after the flare and prior to touchdown. The aircraft overran the runway and collided with a parked aircraft, some vehicles and two buildings. Failure to evaluate existing terminal weather information and to discontinue the attempt to land."
"February 16, 1968",2120,"Linkuo, Taiwan",Civil Air Transport,10,Hong Kong - Taipei,Boeing B-727-92C,B-1018,19175/339,63   (passengers:52  crew:11),21   (passengers:18  crew:3),2,"The aircraft descended below the glideslope, struck trees and  a house, short of runway, at night, in poor weather. Pilot was not qualified to fly."
"February 24, 1968",?,"Ban Napa, Laos",Royal Air Lao,?,Vientiane - Sayaboury,Douglas DC-3,XW-TAD,26696,37   (passengers:34  crew:3),37   (passengers:34  crew:3),0,Crashed into the Mekong River. Engine failure.
"February 29, 1968",2243,"Near Bratsk, Russia",Aeroflot,15,Krasnoyarsk - 	Petropavlovsk,Ilyushin IL-18D,CCCP-74252,187010601,84   (passengers:75  crew:9),83   (passengers:74  crew:9),0,After an emergency situation and emergency descent the plane broke apart at FL100 and crashed. One passenger survived. Fuel leak.
"March 05, 1968",0800,"Near Khe Sanh, South Vietnam",Military - U.S. Air Force,?,Hue - Khe Sanh,Fairchild C-123K,54-0590,20039,49   (passengers:45  crew:4),49   (passengers:45  crew:4),0,The aircraft attempted a go-around after a small plane landed in front of it but was shot down by enemy ground fire. The plane was hit in the right turbine and crashed in flames.
"March 06, 1968",2032,"Basse-Terre, Guadeloupe, West Indies",Air France,212,Caracas - Pointe a Pitre,Boeing B-707-328C,F-BLCJ,19724,63   (passengers:52  crew:11),63   (passengers:52  crew:11),0,"After reporting the field in sight, the aircraft struck the ridge of a dormant volcano. The crew initiated a descent from an incorrectly identified point while flying VFR."
"March 08, 1968",1918,"Off Panay Island, Philippines",Air Manila,507,Manila - Lapu Lapu,Fairchild F-27,PI-C871,0019,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,"Cashed into the sea. In-flight structural failure due to air loads exceeding the design strength, while flying into a thunderstorm cell."
"March 09, 1968",2317,"Near Saint Denis, Reunion",Military - French Air Force,?,Saint Denis - Paris,Douglas DC6B,43748,43748/314,20   (passengers:12  crew:8),19   (passengers:12  crew:7),0,Crashed into a hill shortly after taking off from the Indian Ocean island. The pilot did not follow the correct departure procedure of turning out towards the ocean after takeoff.
"March 24, 1968",1059,"Off Wexford Harbor, Ireland",Aer Lingus,712,Cork - London,Vickers Viscount 803,EI-AOM,178,61   (passengers:57  crew:4),61   (passengers:57  crew:4),0,"The aircraft was believed to have gone into a spin or spiral dive with recovery at about 12,000 ft. The dive apparently caused structural damage which resulted in the aircraft plunging into St George's Channel, 10 miles east of Carnsore Point. Possible causal factors may have been metal fatigue, corrosion, flutter (vibration) or a bird strike."
"March 27, 1968",1757,"St. Louis, Missouri",Ozark Air Lines / Private,?,"Peoria, IL - St. Louis, MO",McDonnell Douglas DC-9 and Cessna 150F,N970Z/N8669G,45772/30,51   (passengers:45  crew:6),2   (passengers:1  crew:1),0,"Midair collision. Both planes were in a landing pattern. The collision resulted in damage to the DC9's wing with fuel pouring out but the plane was able to make a safe landing.  Two killed on the Cessna, no one killed on the DC-9.  Inadequacy of current VFR standards. The DC-9 crew not sighting the Cessna in time to avoid it. Congested traffic pattern."
"March 27, 1968",1031,"Near Moscow, Russia",Military - Russian Air Force,?,?,MiG-15 UTI,?,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,"Soviet cosmonaut Yuri Gagarin, 34, the first man in space, was killed along with his instructor, when the military fighter they were training in crashed approximately 30 miles east of Moscow. Some reports suggest the fighter jet flew into the wake turbulence of another aircraft."
