Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Belem, Brazil",Cruzeiro,?,?,Fairchild C-82A,PP-CEF,10200,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,"The cargo plane lost the No. 1 engine on takeoff, dove into the ground and crashed and burned."
?,"Near La Paz, Bolivia",TAM (Bolivia),?,Tipuani - La Paz,Douglas DC-3,TAM-04,?,11   (passengers:8  crew:3),11   (passengers:8  crew:3),0,Crashed in mountainous terrain while en route.
?,"Rio de Janeiro, Brazil",Loide Aéreo Nacional,?,Rio de Janerio - Fortaleza,Douglas DC-4,PP-LEM,18336,73   (passengers:68  crew:5),5   (passengers:3  crew:2),0,The plane abandoned the takeoff after an engine failed. The plane was unable to stop and slid off the runway striking rocks and catching fire. Failure of No. 4 engine. Malfunctioning of the starboard brakes.
1915,"Norwalk, California",Military - U.S.  Air Force / Military - U.S. Navy,?,Long Beach - McGuire AFB,Douglas C-118A / Lockheed P2V-5F,53-3277A/127723,44622/,41   (passengers:35  crew:6),41   (passengers:35  crew:6),1,"The two aircraft collided at an altitude of 3,000 feet scattering wreckage over a residential and business area of suburban Los Angeles. The C-118 had just taken off from Long Beach Municipal Airport on a transcontinental flight and the P2V was on an instrument training exercise. All 41 killed on the C-118A, six on the P2V and one woman on the ground who was hit by debris outside her house. Pilot error, pilots of both aircraft."
1603,"Munich, Germany",British European Airways,609,Belgrade - Munich - Manchester,Airspeed Ambassador AS-57,G-ALZU,5217,44   (passengers:38  crew:6),23   (passengers:21  crew:2),0,"The first takeoff attempt ended in an aborted takeoff due to engine boosting. This was not uncommon with this type of aircraft at higher altitudes and was usually caused the thrust being opened too fast. The second attempt to take off was aborted for the same reason. During the third attempt, as the plane passed V1 (committed to take off) the plane suddenly decelerated, never became airborne, crashed through the barrier fence, into a house and burst into flames. Eight members of the Manchester United football (soccer) team killed. A German inquiry concluded at an accumulation of ice on the wings was the cause of the accident, blaming the captain for not deicing the plane. Ten years later the British reopened the inquiry and concluded the accident was caused by slush on the last quarter of the runway. The reason other planes had taken off without incident was because they lifted in the air using only two thirds of the runway. The accident plane, because of the engine boosting, went further down the runway to take off. The aircraft was named ""Lord Burghley."""
2224,"Mount Vesuvius, Italy",Military - US Air Force,?,Ramstein - Naples - Turkey,Douglas VC-47A,42-93817,13771,16   (passengers:14  crew:2),16   (passengers:14  crew:2),0,"Radio contact was lost with the military aircraft  thirty minutes after taking off from Naples after the crew reported en route at 6,500 feet and switching to the Rome ATC. The plane crashed on the northern slopes of Mt. Vesuvius."
0114,"Cairo, Egypt",KLM Royal Dutch Airlines,543,?,Douglas DC-6B,PH-DFK,43552,21   (passengers:13  crew:8),1   (passengers:0  crew:1),0,During the approach the aircraft hit a hill in front of R34 and crash landed with a damaged landing gear onto  the runway. An off duty  pilot opened an emergency exit before aircraft stopped and was thrown out into a still turning propeller and killed.
?,"Raiatea, French Polynesia",Réseau Aérien Interinsulaire,?,"Papeete, French Polynesia - Raiatea",Consolidated PBY-5A  Catalina,F-AOVV,296,15   (passengers:12  crew:3),15   (passengers:12  crew:3),0,Struck the water and sank after the right wing tip float contacted the water during a shallow turn for final approach.
0535,"Off Corvo Island, Azores",Military - U.S. Navy,?,Argentina - Azores,Lockheed WV-2,BU-141310,4434,22   (passengers:0  crew:22),22   (passengers:0  crew:22),0,Disappeared while on patrol about 100 miles from the Azores. No trace of the aircraft was ever found.
0945,"Horwich, Lancs, England",Silver City Airways,?,Isle of Man - Manchester,Bristol 170 Freighter 21,G-AICS,12762,42   (passengers:39  crew:3),35   (passengers:35  crew:0),0,Crashed into a mountain near Winter Hill during an approach. The First Officer used the wrong radio beacon (Oldham Becaon instead of on Wigan Beacon).
?,"Menzalah Lake, Egypt",Misrair,?,Athens - Cairo,Vickers 628 Viking 1B,SU-AGN,196,26   (passengers:22  crew:4),8   (passengers:4  crew:4),0,"While approaching Cairo, the aircraft was diverted to Port Said where it ditched into Menzalah Lake."
1945,"Off Ryukyu Islands, Okinawa",Military - U.S. Marine Corps/Military - U.S. Marine Corps,?,Subic Bay - Naha,Fairchild R4Q / Dougas AD-6 skyraider,129741/135350,10570,26   (passengers:19  crew:7),26   (passengers:19  crew:7),0,The aircraft collided after descending from a holding pattern while  attempting to land at Naha Air Base.  Failure of the AD-6 pilot to maintain his position. One killed aboard the AD-6. Poor judgement on the part of the R4Q Plane Commander.
0205,"Grants, New Mexico",Private,?,Los Angeles - New York,Lockheed 18 Lodestar,N300E,2312,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,"The aircraft went down 35 miles SW of Grants, New Mexico. Fog, snow and thunderstorms were reported in the area. The plane hit the ground a a 45 degree angle and disintegrated and burned. Film director, producer Mike Todd, 49, husband of Elizabeth Taylor, killed.  Elizabeth Taylor, who had planned to go on the trip with her husband, remained at home, ill with bronchitis. The plane was named ""The Lucky Liz."" Icing."
?,"Near Kathmandu, Nepal",Indian Airlines,?,Simrla - Kathmandu,Douglas DC-3,VT-CYN,19988,20   (passengers:16  crew:4),20   (passengers:16  crew:4),0,"Due to a navigational error the aircraft flew the wrong route into a valley. While maneuvering to make a turn, the aircraft stalled and crashed. Wreckage was found 16 miles from Kathmandu."
0006,"Miami, Florida",Braniff Airlines,971,Dallas - Miami - Panama City - Rio de Janeiro,Douglas DC-7-C,N5904,45072/793,24   (passengers:19  crew:5),9   (passengers:9  crew:0),0,The plane crashed 2 minutes after takeoff while trying to return to the airport  after reporting a fire in the No. 3 engine. The failure of the captain to maintain altitude during an emergency return to the airport due to his undue preoccupation with an engine fire following takeoff.
1615,"Bridgeport, Texas",Military - U.S. Air Force/Military - U.S. Air Force,?,San Antionio - OK City / Wichita Falls - Forth Worth,Douglas C-124C / Fairchild C-119C,52-981A/49-195A,43890 /10432,18   (passengers:13  crew:5),18   (passengers:13  crew:5),0,"Collided in midair while cruising at 6,000 ft. Both aircraft crashed into farmlands killing all aboard. The pilot of the 49-195A was flying at the wrong altitude."
?,"Quito, Ecuador",Transportes Aereos Orientales,?,Quito - Esmeraldas,Junkers JU-52/3m,HC-SND,J5109,14   (passengers:12  crew:2),3   (passengers:3  crew:0),0,Crashed after experiencing engine trouble.
2319,"Freeland, Michigan",Capital Airlines,67,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,N7437,135,47   (passengers:44  crew:3),47   (passengers:44  crew:3),0,"The aircraft stalled and crashed into a corn field, 300 feet short of the runway, while making a landing attempt at Tri-City Airport in restricted visibility of rain and snow. The aircraft struck the ground nose first, then flipped over and broke apart.  Icing of the horizontal stabilizer leading to loss of pitch control."
0900,"Mt. Illiniza, Ecuador",AREA,222,Guayaquil - Quito,Douglas DC-3,HC-ACL,19779,32   (passengers:29  crew:3),32   (passengers:29  crew:3),0,Flew into a mountain 15 minutes after leaving Guayaquil. Procedural error. The pilot did not maintain IFR until clear of the cloud cover.
2107,"Off Castell de Fels, Spain",Aviaco,?,Zaragoza - Barcelona,de Havilland DH-114 Heron 2D,EC-ANJ,14113,16   (passengers:14  crew:2),16   (passengers:14  crew:2),0,Crashed into the ocean after a sudden avoidance manuver. ATC error. Another aircraft was permitted to takeoff without the exact position of the plane being known.
0830,"Near Sloan, 10 miles SW of Las Vegas, Nevada",United Air Lines / Military - U.S. Air Force,736,Los Angeles - New York City,Douglas DC-7 / F-100F,N6328C/56-3755,45142 /243-31,49   (passengers:42  crew:7),49   (passengers:42  crew:7),0,"The DC-7 was en route from Los Angeles to Denver flying at 21,000 ft. The military jet was on a training mission being conducted under VFR. The fighter initiated an evasive maneuver just prior to colliding with the airliner. Both trainee and instructor aboard the F-100 were killed along with all forty-seven aboard the DC-7 airliner. A high rate of near head-on closure at high altitude,  Human and cockpit limitations and the failure of Nellis Air Force Base and the Civil Aeronautics Administration to take measures to reduce a known collision exposure as training exercises were allowed to be conducted within the confines of several airways after numerous close calls with military jets had been reported by airline crews for more than a year prior to the tragedy."
2018,"New Delhi, India",Pakistan International Airlines,205,Dehli - Karachi,Convair CV-240-7,AP-AEH,052,38   (passengers:32  crew:6),21   (passengers:17  crew:4),2,Crashed shortly after taking off. Improper observation and interpretation of instruments. The captain did not properly observe and interpret his flight instruments and thus inadvertently permitted the aircraft to descend to the ground immediately after a night takeoff during which no visual reference was possible.
?,"Chatenoy, France",British European Airways,?,?,Douglas C-47A,G-AGHP,9408,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The cargo plane broke up in midair while flying through a thunderstorm.
