Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 01, 1974",1238,"Near Turin, Italy",Itavia,?,Bologna - Torino,Fokker F-28 Fellowship 1000,I-TIDE,11015,42   (passengers:38  crew:4),38   (passengers:35  crew:3),0,Crashed 2 miles short of the runway upside down during an approach in fog and heavy rain.
"January 06, 1974",1805,"Johnstown, Pennsylvania",Air East,?,"Pittsburgh, PA - Johnstown, PA",Beechcraft 99A,N125AE,U-125,17   (passengers:15  crew:2),12   (passengers:11  crew:1),0,Crashed short of the runway.  Failed to maintain flying speed. Improper IFR operation. Premature descent below safe approach slope for reasons undetermined.
"January 06, 1974",?,"Unduavi, Bolivia",Servicios Aéreos Boliviano,?,San Borja - La Paz,Curtiss C-46F,CP-990,22490,4   (passengers:1  crew:3),4   (passengers:1  crew:3),0,The cargo plane hit a mountain en route.
"January 06, 1974",1525,"Mukachevo, Ukraine",Aeroflot,H-75,"Ivano-Frankovsk, Ukraine - Uzhgorod, Ukraine",Antonov AN-24V,CCCP-46357,77303405,24   (passengers:18  crew:6),24   (passengers:18  crew:6),0,The plane dove into the ground 100 meters behind the outer marker while on approach.  Icing of the horizontal stabilizer.
"January 09, 1974",1636,"Near Nevia, Colombia",SATENA,?,Florencia - Bogota,Hawker Siddeley HS 748-260,FAC-1103,1704,31   (passengers:28  crew:3),31   (passengers:28  crew:3),0,The domestic flight crashed into Mt Gabinete about 34 km northwest of Florencia while en route to Bogota.
"January 10, 1974",1630,"La Paz, Bolivia",TAM (Bolivia),?,Santa Rose - La Paz,Douglas C-54,TAM-52,?,24   (passengers:21  crew:3),24   (passengers:21  crew:3),0,The non-scheduled passenger flight crashed while en route to La Paz. Wreckage never found.
"January 17, 1974",1315,"Cigorodo, Colombia",Cessnyca,?,Chigorodó - Medellín,Douglas DC-3A,HK-1216,1905,14   (passengers:11  crew:3),14   (passengers:11  crew:3),0,Crashed after climbing to cruising altitude.
"January 26, 1974",0730,"Izmir, Turkey",Turkish Airlines (THY),?,Izmir - Istanbul,Fokker F-28 Fellowship 1000,TC-JAO,11057,73   (passengers:68  crew:5),66   (passengers:62  crew:4),0,"The plane yawed left, pitched nose down and crashed shortly after taking off. Icing. Frost on the wings along with over rotation resulted in a stall. Crew error."
"January 30, 1974",2341,"Pago Pago, American Samoa",Pan American World Airways,806,Auckland - Pago Pago,Boeing B-707-321B,N454PA,19376/661,101   (passengers:91  crew:10),97   (passengers:87  crew:10),0,"The aircraft crashed and burned while making ILS approach to Pago Pago International Airport. There was a failure of the crew to correct an excessive rate of descent causing the aircraft to fly into trees short of the runway. Windshear, sensory illusory, inadequate monitoring of flight instruments, and the failure of the crew to call out descent rate. Most aboard the aircraft were not injured by the crash but succumbed to fire and panic afterwards. The aircraft was named ""Clipper Raidant."""
"February 02, 1974",2130,"Near Honolulu, HI",Pan American World Airways,?,"San Francisco, CA - Honolulu, HI - Agana, Guam",Boeing B-747,N732PA,19638/3,298   (passengers:279  crew:19),1   (passengers:1  crew:0),0,A 16 month old child was asphyxiated by a seat belt while unattended.
"February 09, 1974",1730,"Near Souda, Crete",Military - West German Air Force,?,?,Transall C-160D,50-63,?,40   (passengers:35  crew:5),35   (passengers:30  crew:5),0,"The twin-engine turboprop hit a mountain at an elevation of 5,000 ft. during an ILS approach."
"February 22, 1974",?,"Baltimore, Maryland",Delta Air Lines,523,Baltimore - Atlanta,Mc Donnell Dougals DC-9,?,?,15   (passengers:10  crew:5),1   (passengers:0  crew:1),0,"An out of work Pennsylvania salesman, Samuel Byck attempted to hijack Flight 523. His plans were to fly the plane into the White House and kill president Richard Nixon. He killed a security guard to get on board. He then shot and killed the copilot and seriously wounded the pilot. He was wounded  by a security guard and soon after killed himself. The plane never left the ground."
"February 23, 1974",?,"San Francisco de Moxos,  Bolivia",SAVCO,?,Trinidad - Oruro,Curtiss C-46A-45-CU,CP-1052,30195,7   (passengers:4  crew:3),7   (passengers:4  crew:3),0,Severe turbulence possibly caused the failure of ropes securing cargo. The center of gravity shifted causing a loss of control. The wreckage was found 2 days later.
