Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Near Anchorage, Alaska",Military - US Air Force,?,Anchorage - Nome,Douglas C47,?,?,12   (passengers:?  crew:?),12   (passengers:?  crew:?),0,The pilot turned back to make an emergency landing at Skwentna Airport but hit a ridge a mile short of the runway.
21:00,"Off Skellings, Ireland",Military -Royal Air Force,?,?,Avro Shackleton M-2 / Avro Shakleton M-2,WG531 / Wl743,?,18   (passengers:?  crew:?),18   (passengers:?  crew:?),0,Disappeared while on a training mission. Two planes collided in midair.
0905,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,?,Cincinnati - Cleveland,Martin 202A / DC-3,N93211/N999B,14081 / 4255,15   (passengers:10  crew:5),15   (passengers:10  crew:5),0,"Midair collision at 700-900 feet. The DC-3 entered the airport's control space without clearance or communication with the tower. Thirteen killed on the Martin, two crew on the DC-3."
0005,"London, Ontario, Canada",Ontario Hydro,?,Windsor - Toronto,Grumman G-73 Mallard,CF-GEU,?,5   (passengers:3  crew:2),1   (passengers:1  crew:0),0,"The aircraft, which had no wing anti-ice capability, flew into unexpected heavy freezing rain and ice, 4 inches thick formed. Needing an emergency landing at London, the pilot requested lights on all runways and approaches be turned on. This was not normally done as it might confuse pilots. This overloaded the lighting circuit and blew a fuse. The plane crash-landed short of the runway and the pilot said it became so hard to control the aircraft that the absence of lights may not have mattered. One passenger died of his injuries almost 30 hours later."
1625,"Des Moines, Iowa",United Air Lines,329,Newark - Des Moines - Lincoln,Convair CV-340,N73154,180,39   (passengers:36  crew:3),0   (passengers:0  crew:0),0,Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.
?,"Lapadrera, Colombia",Interamericana de Aviacion,?,Bogota - Villavicencio - Mitu - La Pedrera,Consolidated PBY-5 Catalina,HK-1000E,?,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,The cargo plane crashed into the Caqueta river while attempting to land.
0350,"Nagpur, India",Indian Airlines,?,Nagpur - Delhi,Douglas DC-3,VT-CVB,13037,10   (passengers:6  crew:4),10   (passengers:6  crew:4),0,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude."
1004,"Near Calabar, Nigeria",West African Airways,?,Enugu - Calabar,Bristol 170 Freighter 21E,VR-NAD,12779,13   (passengers:9  crew:4),13   (passengers:9  crew:4),0,Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.
1953,"Abruzzio Mountains, Italy",Sabena,?,Brussels - Rome,Douglas DC-6,OO-SDB,43063/60,29   (passengers:21  crew:8),29   (passengers:21  crew:8),0,Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment.
0731,"Albuquerque, New Mexico",Trans World Airlines,260,Albuquerque - Sante Fe,Martin 404,N40416,14120,16   (passengers:13  crew:3),16   (passengers:13  crew:3),0,"After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to ""deviation from course for reasons unknown"" and admitted there may have been a problem with the flux gauge compass."
0920,"Salisbury,  Zimbabwe",Central African Airways,626,Salisbury - Lusaka,Douglas DC-3,VP-YKO,15109/26554,26   (passengers:21  crew:5),1   (passengers:0  crew:1),0,The pilot began taking off and retracted the landing gear when smoke was observed in the cockpit. He attempted to belly land the plane. The propellers separated and penetrated the fuselage killing the fight engineer. The presence of smoke in the flight crew compartment in sufficient quantity to make the captain apprehensive of fire and to cause him to land the aircraft immediately with the landing gear retracted. A fractured rubber hose on the port engine connecting the rocker box of one of the lower cylinders to the collector box caused smoke to enter the wheel well and into the crew compartment.
1550,"Formosa, Argentina",de Havilland Dove,?,?,de Havilland DH.104 Dove,LQ-XWW,04094,7   (passengers:4  crew:3),6   (passengers:4  crew:2),?,The aircraft was not able to get airborne and hit the end marker of the runway then hit the airport fence. Use of spark plugs inappropriate to the engine type. Overloaded.
?,"Vitoria da Conquista, Brazil",REAL,?,?,Douglas DC-3,PP-YPZ,11699,21   (passengers:18  crew:3),5   (passengers:4  crew:1),0,"After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism."
?,"Near Cuidad de Valles, Mexic",Private,?,Tampico - Mexico City,Lockheed 18 LodeStar,XB-ZEH,?,6   (passengers:4  crew:2),6   (passengers:4  crew:2),?,"While cruising by night, the twin engine aircraft hit the slope of the Cerro El Sabino located near Ciudad Valles."
1340,"Mascota, Mexico",Mexicana,591,Puerto Vallarta - Talpa de Allende - Mascota - Guadalajara,Douglas DC-3,XA-DIK,3992,26   (passengers:23  crew:3),26   (passengers:23  crew:3),0,the airplane hit the slope of the Cerro del Cabre located about 20 km northwest of the airport.
1515,"Trujillo, Colombia",AVIANCA,?,Condoto - Cali,Douglas C-47A,HK-328,20224,8   (passengers:5  crew:3),8   (passengers:5  crew:3),0,The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later.
2236,"Springfield, Missouri",American Airlines,711,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,N94234,066,35   (passengers:32  crew:3),13   (passengers:11  crew:2),0,The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.
