Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 14, 1981",0920,"Ramstein AFB, West Germany",Military - U.S. Air Force,?,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,69-6581,4357,11   (passengers:2  crew:7),11   (passengers:2  crew:7),0,"Stalled, crashed shortly after taking off."
"January 20, 1981",1127,"Spokane, Washington",Cascade Airways,201,Moses Lake - Spokane,Beechcraft 99A,N390CA,U-101,9   (passengers:7  crew:2),7   (passengers:5  crew:2),0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA."
"February 07, 1981",1800,"Near Leningrad, Russia",Military - Soviet Navy,?,Leningrad-Vladivostok,Tupolev TU-104A,CCCP-42332,7660402,52   (passengers:46  crew:6),52   (passengers:46  crew:6),0,Crashed shortly after taking off approximately 10 miles north of Leningrad.
"February 11, 1981",1840,"White Plains, New York",Private - Corporate,?,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,N520S,?,8   (passengers:6  crew:2),8   (passengers:6  crew:2),0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath."
"February 22, 1981",1120,"Avalon, California",Helicopter - Air Taxi,?,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,N324Y,62012,8   (passengers:7  crew:1),2   (passengers:2  crew:0),0,The main rotor disk failed from a fatigue fracture while attempting to land.
"February 24, 1981",?,"Belem, Brazil",VOTEC,?,Tucurui - Belem,Embraer 110P Bandeirante,PT-GLB,110-144,14   (passengers:12  crew:2),11   (passengers:9  crew:2),0,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.
"February 26, 1981",0525,Off Tabones Island  Philippines,Military - U.S. Air Force,?,Training,Lockheed MC-130E-Y,64-0564,4074,24   (passengers:15  crew:9),23   (passengers:15  crew:8),0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames."
"March 10, 1981",0500,"Moroni, Comoro Islands",Military - French Naval Aviation,?,Moroni-Saint-Denis de la Réunion,Dassault-Breguet Atlantique,29,29,18   (passengers:14  crew:4),18   (passengers:14  crew:4),0,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames."
"March 15, 1981",245,"Shemya AFB, Alaska",Military - U.S. Air Force,?,Eielson AFB-Shemya AFB,Boeing RC-135S,61-2664,18340,24   (passengers:?  crew:?),6   (passengers:?  crew:?),0,Hit the ground short of the runway in snow and fog.
"March 26, 1981",?,"Redzikowo, Poland",LOT Polish Airlines,?,Varsovie-Slupsk,Antonov AN-24B,SP-LTU,07306007,52   (passengers:47  crew:5),1   (passengers:1  crew:0),0,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.
"April 06, 1981",?,"Laguna Soliz, Bolivia",Urcupina,?,?,Douglas C-47A,CP-1470,19395,7   (passengers:4  crew:3),7   (passengers:4  crew:3),0,The cargo plane flew into the ground while trying to avoid bad weather.
"April 07, 1981",1136,"Cincinnati, Ohio",Freedom International,?,Cincinnati - Detroit,Learjet 23,N400PG,23-068,2   (passengers:0  crew:2),1   (passengers:0  crew:1),0,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing."
"April 17, 1981",1601,"Loveland, Colorado",Air US / Private,716 / -,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,N11360 / N4862F,238,19   (passengers:15  crew:4),15   (passengers:12  crew:3),0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways."
"April 28, 1981",0745,"Pekanbaru, Indonesia",Private - Airfast Indonesia,?,Singapour-Pekanbaru,Douglas C-47A-5-DK,PK-OBK,12209,17   (passengers:13  crew:4),15   (passengers:11  crew:4),0,Crashed during final approach. Hudbay Oil Co. charter.
