Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Sverdlovsk, Russia",Military - Soviet Air Force,?,?,Lisunov Li-2,?,?,19   (passengers:?  crew:?),19   (passengers:?  crew:?),0,"During the approach to Koltsovo Airport in Sverdlovsk, Russia, the aircraft crashed in extremely adverse weather conditions involving a heavy snowstorm with strong winds. All 19 of those on board were killed, including almost the entire national ice hockey team of the Soviet Air Force. The team was heading to a match against the Dynamo Moscow hockey club."
?,"Albacete, Spain",Ejercito del Aire,?,Murcia-San Javier - Albacete,Casa 352,T-2-143,34,16   (passengers:13  crew:3),16   (passengers:13  crew:3),0,"After the aircraft started the descent to Albacete, plane hit the slope of a mountain 6 km northeast of Tobarra."
1200,"Near Vacas, Bolivia",Military - Bolivian Air Force,?,Valle grande - Cochabamba,Douglas C-47,TAM-10,?,32   (passengers:28  crew:4),32   (passengers:28  crew:4),1,Crashed while en route in the Andes mountains after encountering a thunderstorm.
?,"Near Tamatave, Madagascar",Societe Transatlantique Aerienne,?,Antananarivo - Tamatave,Douglas C-47A-50-DL,F-BFGD,10046,14   (passengers:11  crew:3),14   (passengers:11  crew:3),0,Crashed into a mountain 30 miles west of Tamatave.
?,"Iloilo,Philippines",Philippine Air Lines,?,Iloilo - Manila,Douglas DC-3,PI-C22,12628,4   (passengers:1  crew:3),4   (passengers:1  crew:3),0,"Cargo plane crashed after taking off from Iloilo,"
1409,"Near Snag, Yukon Territory",Military - U.S. Air Force,?,Elmendorf - Great Falls,Douglas C-54D-DC (DC-4),42-72469,10574,44   (passengers:36  crew:8),44   (passengers:36  crew:8),0,"Operated by the Strategic Air Command, the transport disappeared while flying between Elmendorf AFB and Great Falls, Mt. There were 44 persons aboard. All were American military personnel except for two passengers, a civilian dependent and her infant child. Last radio contact was at 17:09 near Snag, YT. It took Amber Airway No.2 over Canada, but failed to arrive at its destination.  The wreckage still had not been found by 1951."
0445,North Sea,KLM Royal Dutch Airlines,?,Amsterdam - London,Douglas DC-3,PH-TEU,13396,7   (passengers:0  crew:7),7   (passengers:0  crew:7),0,"Crash into the North Sea during a night mail flight shortly after takeoff, 40 miles off the Dutch coast."
0731,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,?,Ostrava - Prague,Douglas C-47A-15-DK,OK-WDY,12725,30   (passengers:27  crew:3),5   (passengers:2  crew:3),0,"The aircraft hit the slope of Mt Praded at 1,440 meters."
2059,"Minneapolis, Minnesota",Northwest Orient Airlines,307,Rochester Minn. - Minneapolis,Martin 202,N93050,9134,13   (passengers:10  crew:3),13   (passengers:10  crew:3),2,"The aircraft flew 128 below the ILS glideslope and crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow.  Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost."
?,"Saigon, Vietnam",Societe Indochinoise de Transport Aeriens,?,Hue - Tourane,Bristol 170 Freighter 21,F-BECR,12782,4   (passengers:1  crew:3),4   (passengers:1  crew:3),0,The cargo plane hit a mountain slope while on approach.
1450,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,?,Llandow - Dublin,Avro 689 Tudor 5,G-AKBY,1417,83   (passengers:78  crew:5),80   (passengers:75  crew:5),0,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power."
?,"Ankara, Turkey",Devlet Hava Yollairi,?,Istanbul - Ankara,Douglas DC-3,TC-BAL,19423,15   (passengers:11  crew:4),15   (passengers:11  crew:4),0,"Went out of control, crashed and caught fire during landing at Etimeagut airport."
1730,"Off Cap-Ferret, France",SEMAF,?,Test flight,Latecoere 631 (sea plane),F-WANU,03,12   (passengers:0  crew:12),12   (passengers:0  crew:12),0,Loss of control after mechanical failure. Crashed into the sea. Failure of the aileron control couplings resulting from severe vibration.
0356,"Hatiara, India",Deccan Airways,?,?,Douglas C-47A,VT-CJD,12826,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The cargo plane lost an engine on takeoff and attempted an emergency return but crashed. Overloaded.
?,"Near Hastings, England",British European Airways,?,London - Paris,Vickers 610 Viking 1B,G-AIVL,225,32   (passengers:28  crew:4),0   (passengers:0  crew:0),0,"While en route over the English Channel a explosion occurred in the lavoratory. The bomb blew a 8 ft. by 4 ft. hole in the fuselage seriously injuring a stewardess. The capltain was able to returnt to Northolt and make a safe landing. Detonation of a bomb in the toilet compartment under the towel receptical. A French passenger was suspected of making a suicide attempt. The plane was named ""Vigalant,."""
1700,"Santa Ana, Colombia",Lineas Aéreas Nacionales,?,Medellín - Barranquilla,Douglas C-47 (DC-3),HK-309,?,4   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The airplane hit the slope of a mountain and crashed 20 km northeast of Santa Bárbara de Pinto.
2325,"Near Atsugi, Japan",Military - U.S. Air Force,?,Clark - Kadena - Tachikawa,Douglas C-54D,42-72704,10809,35   (passengers:27  crew:8),35   (passengers:27  crew:8),0,Flew off its prescribed course and crashed into Mt. Tanzawa in a rainstorm.
?,"Chimborazo, Ecuador",AVIANCA,?,Bogota - Quito - Guayaquil,Douglas C-47DL,HK-120,4314,15   (passengers:12  crew:3),15   (passengers:12  crew:3),0,Flew into a mountain.
2059,"Lagens Air Force Base, Azores",Military - U.S. Air Force,?,Barksdale - Lajes,Boeing B-29,44-69875,10707,16   (passengers:5  crew:11),16   (passengers:5  crew:11),0,Crashed while attempting to land after being diverted to Lagens due to engine trouble.
1020,"Myrtle Beach, South Carolina",Military - U.S. Air Force,?,?,Curtiss C-46D,44-77577,32973,39   (passengers:35  crew:4),39   (passengers:35  crew:4),0,"Lost the left aileron after taking off, lost control and crashed."
?,"Near Pasto, Colombia",LANSA,?,Popayan - Ipiales,Douglas C-47,HK-307,10194,27   (passengers:24  crew:3),26   (passengers:23  crew:3),0,Struck the side of Galeras Volcano. A young girl age 10 survived.
1729,"Teterboro, New Jersey",Regina Cargo Airlines,?,Teterboro - Fort Wayne - Detroit,Curtiss C-46F-1-CU,N9406H,22582,2   (passengers:0  crew:2),1   (passengers:0  crew:1),0,The cargo plane lost an engine on takeoff and crashed. Overloading of the aircraft due to faulty loading and dispatch procedures coupled with engine malfunctioning due to inadequate maintenance.
?,"Near Ilheus, Brazil",Aerovias Brasil,?,Victoria - Salvador,Douglas DC-3,PP-AVZ,9156,15   (passengers:11  crew:4),13   (passengers:9  crew:4),0,"During descent into dense cumulonimbus  clouds, severe turbulence was encountered which caused displacement of freight that led to an uncontrolled dive which resulted in the wings separating from the fuselage. Structural failure due to severe turbulence during a thunderstorm. Pilots decision to descend without clearing the turbulent area of weather."
2203,Atlantic Ocean off Florida,Westair Transport,?,San Juan - Wilmington NC,Curtiss C-46-F-1-CU,N1248N,22496,65   (passengers:62  crew:3),28   (passengers:28  crew:0),0,"Ditched into the Atlantic 300 miles east of Melbourne, Florida on a flight from San Juan, Porto Rico to Wilmington, North Carolina due to failure of both engines. It sank in one of the deepest areas of the Atlantic and could not be recovered. Failure of both engines for reasons unknown."
1900,"Near Fonseca, Colombia",New Tribes Mission,?,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas DC-3-178,N16030,1546,15   (passengers:12  crew:3),15   (passengers:12  crew:3),0,"Struck trees, crashed and burned 19 miles east northeast of Fonseca well off course. Cause could not be determined."
0116,Off Bahrain,Air France,?,Saigon - Paris,Douglas DC-4-1009,F-BBDE,42937,52   (passengers:44  crew:8),46   (passengers:40  crew:6),0,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
0153,Bahrain,Air France,?,Saigon - Karachi - Bahrain - Paris,Douglas DC-4,F-BBDM,42990,53   (passengers:45  crew:8),40   (passengers:37  crew:3),0,"On final approach at night, the aircraft hit the water surface and crashed into the Persian Gulf, few hundred yards short of the runway 29 threshold."
0153,"Bahrain, Bahrain",Air France,?,Saigon - Karachi - Bahrain - Paris,Douglas DC-4,F-BBDM,42990,53   (passengers:45  crew:8),40   (passengers:37  crew:3),?,"On final approach at night, the aircraft hit the water surface and crashed into the Persian Gulf, few hundred yards from the runway 29 threshold. Failure of the pilot in command to adopt the timed approach procedure to the prevailing conditions. Having descended to 300 feet, the pilot in command did not take the appropriate measures to maintain this altitude until such time as the runway lights became visible."
2325,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,2501,New York City - Minneapolis - Spokan -Seattle,Douglas DC-4,N95425,10270,58   (passengers:55  crew:3),58   (passengers:55  crew:3),0,"En route from New York to Minneapolis, the aircraft crashed into Lake Michigan. The DC-4 was last reported at 3,500 ft. The crash occurred shortly after the aircraft entered an area of severe turbulence with thunderstorm activity. The wreckage was never found but was believed to be located in 150 feet of water and  not recoverable because it was in 30 feet of silt and an area of extremely poor visibility. The forecast of a squall line in the areas was not made available to the crew. Cause unknown."
2300,"York, Australia",Ansett ANA,?,Perth  Adelaide  Melbourne e,Douglas DC-4-1009,VH-ANA,42910,29   (passengers:24  crew:5),29   (passengers:24  crew:5),0,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named ""Amana."" Total loss of engine power."
?,"Busan, South Korea",Military - U.S. Air Force,?,?,Douglas C-54G,45-0518,35971,23   (passengers:18  crew:5),23   (passengers:18  crew:5),0,"While cruising at an altitude of 2,000 ft in reduced visibility, aircraft hit the slope of a mountain located 64 km northwest of Busan."
0130,"Casablanca, Morocco",Aigle Azur,?,Paris - Bordeaux - Casablanca - Dakar,Douglas DC-3,F-BFGL,13824,29   (passengers:25  crew:4),22   (passengers:18  crew:4),0,"While climbing by night, the aircraft went out of control and crashed 7 km from the airport."
?,"Near Pathankot, India",Indian National Airlines,?,Delhi - Sringagar,Douglas DC-3,VT-ATS,20359,22   (passengers:18  crew:4),22   (passengers:18  crew:4),0,The left wing separated from the plane in extreme turbulence after penetrating a thunderstorm.
?,"Near Bocoio, Angola",DTA Angola Airlines,?,Nova Lisboa - Lobito,Douglas DC-3,CR-LBK,13769,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,Struck a mountain while descending to land.
1022,"Myrtle Beach, North Carolina",Military - U.S. Air Force,?,Myrtle Beach - Nashville,Curtiss C-46 Commando,44-77577,32973,39   (passengers:35  crew:4),39   (passengers:35  crew:4),0,"Shortly after takeoff and while climbing , the aircraft became unstable, lost height and crashed in a huge explosion in a field located two miles from the airfield. Shortly after takeoff, while climbing to a height between 1,000 and 2,000 feet, the aircraft became unstable, lost height and crashed in a huge explosion in a field located two miles from the airfield. Several eye-witnesses reported that the aircraft lost some pieces before it came down. Investigations determined that following the failure of a part of the right aileron, it detached from the wing, causing severe vibrations. The crew tried to maintain a flat attitude but the aircraft banked left and right and then went into a spin when both wings separated due to aerodynamic forces that exceeded their certification. In such conditions, control was impossible."
0430,"Off O-shima Island, Japan",Military - U.S. Air Force,?,Tokyo - Kagoshima - Okinawa,Douglas C-47D,44-76439A,16023/32771,26   (passengers:23  crew:3),25   (passengers:22  crew:3),0,"The aircraft took off from O-shima and reached an altitude of 3,500 feet after which a sudden unexplained descent was made until it crashed into the sea. The surviving witness stated the aircraft hit two moderate bumps followed by dimming of the lights before the descent."
1925,"Porte Alegre, Brazil",Panair do Brasil,?,Rio de Janeiro - Porte Algegre,Lockheed 049 Constellation,PP-PCG,2962,50   (passengers:43  crew:7),50   (passengers:43  crew:7),0,The aircraft flew into power lines during a landing attempt after running out of fuel while in a holding pattern.
