Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
1930,"Paris, France",Air France,?,Brussels - Paris,Douglas DC-3D,F-BAXC,42972,16   (passengers:11  crew:5),16   (passengers:11  crew:5),0,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident.
?,"Ruislip, England",British European Airways,?,Renfrew - Northolt,Vickers 610 Viking 1B,G-AHPK,148,18   (passengers:14  crew:4),1   (passengers:0  crew:1),0,"After two or three failed approaches, the plane struck trees and crashed into a field. Poor judgment on the part of the pilot attempting to land in VFR conditions in limited visibility and poor weather conditions and not diverting to another airport."
0745,"Near Savannah, Georgia",Coastal Air Lines,?,Charlston - Savannah,Douglas DC-3,N60331,12968,27   (passengers:25  crew:2),18   (passengers:17  crew:1),0,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost."
?,"Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,?,Algiers - Biskra,Douglas DC-3,F-BDLG,0275,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,Crashed into a mountainside 50 miles south of Algiers after an engine failed.
?,"Ciudad Havajillo, Dominican Republic",Dominicana,?,Santa Cruz de Barahona - Santiago de los Caballeros,Douglas DC-3,HI-6,4735,32   (passengers:29  crew:3),32   (passengers:29  crew:3),0,Crashed in mountainous terrain about 15 miles north northwest of Santo Domingo. Unable to land in darkness and unlighted airport of its intended destination the plane turned back when it struck the mountain. Weather and navigational error were considered factors in the accident.
0436,"Oxon Hill, Maryland",Eastern Air Lines,572,Atlanta - Washington D.C.,Douglas DC-3-201F,NC28384,4092,9   (passengers:6  crew:3),5   (passengers:3  crew:2),0,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ILS approach."
?,"Near Mukden, China",China National Aviation Corporation,?,?,Curtiss C-46,?,?,54   (passengers:51  crew:3),11   (passengers:11  crew:0),0,"The heavily loaded plane rose 50 ft. into the air, nosed down and crashed in a snowstorm"
1050,"Diablo Mts., California",Airline Transport Carriers,?,Burbank - Oakland,Douglas DC-3 (C-47B-DK),NC36480,16850/33598,32   (passengers:29  crew:3),32   (passengers:29  crew:3),0,"The crew took the wrong plane which was scheduled for maintenance.  An in-flight fire caused the engine and then wing to separate from the aircraft and crash out of control. Tests showed a fuel pump was broken in the left engine and would spray gasoline out where it could be ignited by the exhaust. The failure of the left wing in flight as a result of damage by fire which had its source in a defective left engine driven fuel pump.The crash became the impetus for the Woody Guthrie song ""Deportee."""
0300,"Atlantic Ocean, NE of Bermuda",British South American Airways,?,London - Havana,Avro 688 Tudor I,G-AHNP,1349,31   (passengers:25  crew:6),31   (passengers:25  crew:6),0,"The aircraft ran out of fuel and crashed into the Atlantic Ocean, 340 miles from Bermuda, after running into strong headwinds and being blown off course while flying the leg from  the Azores to Bermuda. Official cause unknown. The aircraft was named ""Star Tiger."""
1327,"Off Jacksonville, Florida",Eastern Air Lines,611,Boston- NY-West Palm Beach- Miami,Lockheed L-649 Constellation,NC112A,2533,69   (passengers:63  crew:6),1   (passengers:0  crew:1),0,The No. 3 propeller failed and penetrated the fuselage killing a purser.The failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning.
1630,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,?,Bandung - Jakarta - Banjoemans - Semarang,Douglas DC-3,PK-REA,16380/33128,19   (passengers:15  crew:4),19   (passengers:15  crew:4),0,Crashed and burned on the island of Java. The crew reported they lost an engine. While trying to return the plane crashed and exploded.
1325,"Ubrichstein, Germany",Det Danske Luftfartselskab,?,Giessen - Bad Homberg,Douglas DC-3,OY-DCI,7330,21   (passengers:17  crew:4),12   (passengers:8  crew:4),0,"In marginal weather conditions, the crew informed ground that an engine failed and was forced to make an emergency landing as they were unable to maintain a safe altitude. The aircraft crash landed in a field located in Ulrichstein, about 70 km northeast of Frankfurt Airport."
1340,"Collesalvetti,  Italy",Società Aerea Teseo,?,Florence - Pisa - Rome,Douglas C-47-DL,I-REGI,4312,10   (passengers:7  crew:3),7   (passengers:4  crew:3),0,"The pilot chose to fly the short distance between Florence and  Rome below the cloud base. The weather suddenly became worse and the plane entered clouds at low level, drifted off course and struck a hill."
1400,"Off St. Marcouf, France",Latecoere Airlines,?,?,Latecoere 631 (flying boat),F-BDRD,07,14   (passengers:7  crew:7),14   (passengers:7  crew:7),0,"The aircraft was seen at Ste. Mere l'Eglise where it passed very low in poor weather and snow showers before crashing into the English Channel, 50 miles west of La Harvre. It had turned back after encountering adverse weather conditions."
?,"Davao, Philippines",Commercial Airways,?,?,Douglas DC-3,PI-C262,?,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,Crashed  5 minutes after taking off from Mati.
0600,"Columbus, Ohio",Bruning Aviation,?,"Pittsburgh, PA - Columbus, OH",Douglas C-47A,NC36498,12527,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The cargo plane struck trees while attempting to land.The continuation of an instrument approach below an altitude sufficient to clear the terrain en route.
?,"Near Belem, Brazil",Military - Brazilian Air Force,?,Rio de Janeiro - Bele - Cayenne,Douglas C-47,2040,20048,26   (passengers:20  crew:6),23   (passengers:17  crew:6),0,"The plane, carrying Brazilian service personnel and their dependents crashed and burned after stalling short of the runway while attempting to land."
