Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Montpelier, Ohio",US Aerial Mail Service,?,?,Curtiss Carrier Pigeon,602,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
?,"Staaken, Germany",Deutche Lufthansa,?,?,Junkers F-13,"D-290
D-290",665,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While in a training filight the aircraft stalled and crashed while attempting to land.
?,English Channel,Air Union,?,Paris - Cryodon,Breguet 14,F-ADAI,1908,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The mail plane crashed into the English Channel and was never found.
?,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,?,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6   (passengers:4  crew:2),6   (passengers:4  crew:2),0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
0930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,?,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed into the ground while descending in poor weather.
?,"Juist, Germany",Deutsche Lufthansa,?,?,Junkers F-13,D-272,660,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Crashed under weather related.circumstances.
?,"Hurst, Kent, England",Air Union,?,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,15   (passengers:13  crew:2),3   (passengers:2  crew:1),0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
?,"New York, New York",?,?,New York - Paris,Sikorsky S-25,?,?,5   (passengers:4  crew:1),2   (passengers:2  crew:0),0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
1527,"Leigh, Kent, Unied Kingdom",Air Union,?,Paris - London,Bleriot 155,F- AICQ,1,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
?,"Bueren, Germany",Deutsche Lufthansa,?,?,Fokker FG III,D-468,1554,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,Weather related.
c 13:15,English Channel,Imperial Airways,?,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,12   (passengers:10  crew:2),0   (passengers:0  crew:0),0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
0800,"Cape Bojador, Morocco",Grands Express Aeriens,?,Casablanca -Dakar,Breguet 14,F-AFAX,198,3   (passengers:3  crew:0),3   (passengers:3  crew:0),0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
?,"Medford, Oregon",Pacific Air Transport,?,?,Ryan M-1,2,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The postal plane crashed into a mountain slope in foggy conditions.
