Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Paris, France",Handley Page Transport,?,?,Handley Page O/10,G-EATN,HP-43,5   (passengers:4  crew:1),5   (passengers:4  crew:1),5,Crashed at Le Bourget field.
?,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Dirigible Roma (airship),?,?,45   (passengers:?  crew:?),34   (passengers:?  crew:?),0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
1140,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6   (passengers:5  crew:1),5   (passengers:5  crew:0),0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
1315,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
?,"Pao Ting Fou, China",?,?,Test,?,?,?,17   (passengers:0  crew:17),17   (passengers:0  crew:17),0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
?,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,Went down into the English Channel while en route.
?,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,LVG C VI,?,?,3   (passengers:2  crew:1),2   (passengers:1  crew:1),0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
1645,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,?,Strasbourg - Paris,Potez 29,F-FREI,25,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
?,"Cadix, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALVE,117,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
?,"Indianapolis, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,227,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The plane stalled shortly after takeoff and crashed.
?,"Venice, Italy",de Havilland Air Service,?,Venice - London,de Havilland DH-9,G-EAYT,14,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,Shortly after taking off the plane crashed into the sea and sank.
?,"Larache, Morocco",Grands Express Aeriens,?,?,Breguet 14,?,?,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed under unknown circumstances.
?,"Fez, Morocco",Grands Express Aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
