Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 01, 1978",2041,"Off Bandra, Maharashtra, India",Air India,855,Bombay - Dubai,Boeing B-747-237B,VT-EBD,19959/124,213   (passengers:190  crew:23),213   (passengers:190  crew:23),0,"Following a right turn, after taking off, the plane rolled to the left beyond 90 degrees, went into a steep dive, crashed and exploded in shallow water. Irrational control wheel inputs on the part of the captain after his attitude director indicator malfunctioned leading to complete loss of situational awareness."
"January 27, 1978",1355,"Near San Vincente, Colombia",SADELCA,?,Neiva - San Vincente,Douglas DC-3,HK-1351X,42958,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,"Struck Cerro Granada, at 6800 feet in mountain fog."
"January 31, 1978",?,"Eirunepe, Brazil",TABA,?,?,Embraer 110P Bandeirante,PT-GKW,110128,14   (passengers:12  crew:2),2   (passengers:0  crew:2),0,Crashed during takeoff.
"February 10, 1978",1120,"Near Artigas, Uruguay",Uruguayan Air Force,?,Artigas - Montevideo,Douglas C-47A-DL,T511,19301,44   (passengers:40  crew:4),44   (passengers:40  crew:4),0,The passenger flight attempted to make an emergency landing at Artigas Airport when it had taken off from.  An engine failure was followed by a wide banking turn and crash to the ground bursting into flames.
"February 10, 1978",1650,"Richland, Washington",Columbia Pacific Airlines,23,"Richland, WA - Seattle, WA",Beechcraft 99,N199EA,U037,17   (passengers:15  crew:2),17   (passengers:15  crew:2),0,The aircraft crashed shortly after taking off from Richland after climbing to 400 feet and stalling. Crew error.  The failure and inability of the flightcrew to prevent rapid pitchup and stall by exerting sufficient push force on the control wheel. The pitchup was caused by the combination of a mistrimmed horizontal stabilizer and a center of gravity near the aircraft's aft limit. The mistrimmed condition resulted from discrepancies in the aircraft's trim system and the flightcrew's preoccupation with making a timely departure. The out-of-trim warning system was inoperative.
"February 11, 1978",1255,"Cranbrook, British Columbia, Canada",Pacific Western Airlines,314,Calgary - Cranbrook,Boeing B-737-275,C-FPWC,20142/253,49   (passengers:44  crew:5),42   (passengers:38  crew:4),0,"The aircraft touched down just as the crew noticed a snow plow on the runway. A go-around was initiated but the thrust reverses did not stow away properly because hydraulic power was automatically cut off at lift-off.  The aircraft missed the plow, overran the runway, crashed and burned. Estimated time of arrival given by Calgary ATC in error. Crew did not report over its final approach beacon."
"February 28, 1978",1030,"Solvang, California",Security Air,?,Visalia - Santa Barbara - Santa Maria,Aero Commander 500A,N6143X,500-0931-26,7   (passengers:4  crew:3),7   (passengers:4  crew:3),0,Continued VFR flight into adverse weather conditions.
"March 01, 1978",0925,"LAX, Los Angeles, California",Continental Airlines,603,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,N68045,46904,200   (passengers:186  crew:14),2   (passengers:2  crew:0),0,"While approaching V1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. The crew decided to abort the takeoff. With the end of the runway approaching, the captain steered the aircraft off the runway to the right. The landing gear failed and resulted in a fire. The plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. Several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. Failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. This was to be pilot Gene Hershe's last flight before retiring."
"March 02, 1978",1243,"Kano, Nigeria",Nigeria Airways,?,Abuja - Kano,Fokker F-28 Fellowship 1000 / MiG-21,5N-ANA / ?,11993,18   (passengers:11  crew:7),18   (passengers:11  crew:7),0,Midair collision. The Fokker collided with the MiG which was performing touch-and-go landings. Error by the MiG pilot. Sixteen killed on the Fokker and two on the MiG.
"March 03, 1978",?,"Off Caracas, Venezuela",LAV - Linea Aeropostal Venezolana,?,Caracas - Cumana,British Aerospace 748 2A,YV-45C,1744,47   (passengers:43  crew:4),47   (passengers:43  crew:4),0,The aircraft crashed into the ocean shortly after takeoff due to problems with the artificial horizon. The pilot radioed he was having an instrument failure. The plane the banked to the left and crashed into the sea.
