Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Frankfurt, Germany",Lufthansa,?,Milan - Frankfurt,Junkers JU-38,D-ABUR,5777,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,Crashed short of the runway while attempting to land in snow and icing conditions.
1507,"Bozeman, Montana",Northwest Orient Airlines,2,Seattle - Spokane - Butte - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10   (passengers:8  crew:2),10   (passengers:8  crew:2),0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft."
0803,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Oakland - Honolulu - Kingman Reef - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7   (passengers:0  crew:7),7   (passengers:0  crew:7),0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed."
?,"North Pine, Ontario, Canada",General Airways,?,Sioux Lookout - Hudson,Stinson Reliant SR-9,CF-BEI,5212-S,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed in rugged terrain while en route.
c 20:40,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,?,Training,Consolidated PBY-2 / Consolidated PBY-2,04062 / 0463,?,14   (passengers:0  crew:14),11   (passengers:0  crew:11),0,The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea.
?,"Kandalaksha, Russia",TsAGI,?,Moscow - Murmansk,V6 (airship),CCCP-V6,?,19   (passengers:0  crew:19),13   (passengers:0  crew:13),0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.
?,"Guadalupe, Mexico",Mexicana,?,Test flight,Lockheed 10 Electra,XA-BAS,?,2   (passengers:0  crew:0),2   (passengers:0  crew:0),0,Crashed on a second test flight.
0730,"Marseille, France",Air France,?,"Marseille, France - Ajaccio, Corsica",Lioré-et-Olivier H-242,F-ANPB,05,12   (passengers:7  crew:5),8   (passengers:5  crew:3),0,The flying boat struck the breakwater in fog at 60 miles an hour and burst into flames while attempting to take off.
1430,Mediterranean Sea,Ala Littoria SA,?,Cadiz - Pollença -Alghero - Rome,Cant Z-506,I-ORIA,297,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,Disappeared over the Mediterranean Sea while flying in a storm.
0445,"Pontoise, France",Deutsche Lufthansa,?,"Berlin, Germany - Paris, France",Junkers JU.52,D-APAR,4040,3   (passengers:0  crew:0),3   (passengers:0  crew:0),0,The mail plane crashed in fog within a few miles of it's destination near Bourget Airport.
21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,"San Francisco - Winslow, AZ,  Burbank, CA",Douglas DC-2-112,NC13789,1299,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.
?,"Datia, India",Air France,?,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7   (passengers:3  crew:4),7   (passengers:3  crew:4),0,Crashed and burst into flames shortly after taking off from Dum Dum.
?,"Somerton, Australia",Australian National Airways,?,Training,De Havilland DH-60,VH-UNU,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The pilot made a sharp turn, lost control of the aircraft and chrashed."
0700,"Corsavy, France",Air France,?,Dakar - Casablanca - Oran - Toulouse - Paris,Dewoitine D-338,F-AQBB,02,8   (passengers:5  crew:3),8   (passengers:5  crew:3),0,The mail plane crashed into Cinq Croix peak in  the Pyrenees mountains while en route.
1400,"Near Formia, Italy",Ala Littoria,?,Brindisi - Rome,Junkers JU-52,I-BAUS,4063,19   (passengers:14  crew:5),19   (passengers:14  crew:5),0,Struck cloud obscured Mount Maranola.
?,"Balbuena, Mexico",Lineas Aéreas Mineras,?,Mexico City - Juarez,Lockheed Vega 5B,XA-BFR,124,6   (passengers:5  crew:1),1   (passengers:5  crew:1),0,Stalled and crashed on takeoff.
?,"Mangere, New Zealand",United Airways of New Zealand,?,Auckland - Palmerston North,Lockheed 10 Electra,ZK-AFC,1092,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,"After experiencing engine failure while taking off, the plane crashed into trees and exploded in flames."
1407,"Near Saugus, California",Northwest Orient Airlines,?,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,NC17394,1439,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames. The crew did not follow the prescribed procedures and was cruising at an unsafe altitude to overfly the mountainous region."
1340,"Sao Paulo, Brazil",Cruzeiro do Sul,?,Santos - Sao Paulo - Rio de Janeiro - Natal,Junkers JU-52/3m,PP-CBC,5453,17   (passengers:14  crew:3),6   (passengers:6  crew:0),0,Shortly after taking the plane stalled and crashed into Santos estuary.
