Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Near Tiflis, Georgia, USSR",Zakavia,?,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,Shortly after take off the plane went out of control and crashed in flames.
?,"Alicante, Spain",Grands Express Aeriens,?,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3   (passengers:1  crew:2),3   (passengers:1  crew:2),0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
?,"Landrécies, France",KLM Royal Dutch Airlines,?,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
?,"Alicante, Spain",Grands Express Aeriens,?,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,While attempting to land the seaplane hit a lightning mast and crashed.
?,"Rosas, Spain",Lignes Aeriennes Latecoere,?,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed in unknown circumstance.
?,"Budapest, Hungary",CIDNA,?,?,Potez IX,?,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed while attempting to land 10 km from the airport
0530,"Caldwell, Ohio",Military - U.S. Navy,?,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,?,43   (passengers:0  crew:43),14   (passengers:0  crew:14),0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
?,"Toul, France",CIDNA,?,?,Spad 33,?,?,?   (passengers:?  crew:?),?   (passengers:?  crew:?),?,?
?,"Mt. Nittany, Ohio",US Aerial Mail Service,?,New York - San Francisco,De Havilland DH-4,385,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
?,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,?,?,Breguet 14,F-AEGZ,168,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The pilot suffered sunstroke lost control of the plane and crashed.
?,"Off Boulogne-sur-Mer, France",Air Union,?,?,Farman F-60 Goliath,F-FHMY,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,?
