Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Denpasar, Indonesia",KNILM,?,Batavia - Denpasar - Kupang - Darwin - Sydney,Lockheed 14 Super Electra,PK-AFO,1415,9   (passengers:5  crew:4),8   (passengers:5  crew:3),0,Crashed into the sea shortly after take-off. Cause unknown
?,"Near Cosenza, Italy",Ala Littoria SA,?,Catania - Brindisi - Rome,Savoia-Marchetti SM-75,I-LEAL,32031,10   (passengers:4  crew:6),10   (passengers:4  crew:6),0,Crashed and burned on a hill side in fog. Prior to crashing the crew reported ice on the wings.
c 10:00,"Near Bucaramanga, Columbia",SCADTA,?,Bogota - Cucuta,Boeing 247D,C-79,?,11   (passengers:9  crew:2),11   (passengers:9  crew:2),0,"The plane hit a mountain in the Andes  near Tona, northeast of Bucaramanga after the crew lost their bearings in fog."
1320,Gulf of Oman,Imperial Airways,?,Calcutta - Jask - Sharjah - Alexandria - London,Handley Page HP-42,G-AAGX,HP42/1,8   (passengers:4  crew:4),8   (passengers:4  crew:4),0,"Crashed in the Persian Gulf while en route with out a trace. The aircraft was named ""Hannibal."""
?,"Stromboli Island, Italy",Ala Littoria,?,Tripol- Catania - Rome - Milan,Savoia Marchetti SM 73,I- SUTO,30024,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,The plane crashed into Stromboli Volcano. The cause was possibly bad weather or some electromagnetic phenomena.
?,"Near Loch Lomond, Scotland",British Overseas Airways,?,Stockholm - Perth - Heston,Lockheed 14 Super Electra,G-AFKD,1484,5   (passengers:2  crew:3),5   (passengers:2  crew:3),0,Struck a mountain after being off course 10 miles to the west in reduced visibility.
?,"El Segundo, California",Douglas Aircraft Company,?,Test flight,Douglas DC-5,?,?,5   (passengers:0  crew:5),5   (passengers:0  crew:5),0,Crashed and burned during a government test flight
1400,"Off Prangli Island, Gulf of Finland, Estonia",Aero O-Y,?,"Tallinn, Estonia - Helsinki, Finland",Junkers JU-52/3mge,OH-ALL,5494,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,"The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named ""Kaleva."""
?,"Near Ouistreham, France",Air France,?,?,Dewoitine D-338,F-ARTD,22,1   (passengers:?  crew:?),1   (passengers:?  crew:?),0,Inadvertently shot down by French anti-aircraft fire.
?,Gulf of Tonkin,Air France,?,?,Dewoitine D-338,F-AQBA,1,4   (passengers:?  crew:?),4   (passengers:?  crew:?),0,Shot down by a Japanese military fighter.
?,"Hannover, Germany",Deutsche Lufthansa,?,?,Douglas DC-2-115H,D-AIAV,1366,13   (passengers:10  crew:3),2   (passengers:2  crew:0),0,No cause was described except it being pilot error.
1015,"Near Canberra, Australia",Military - Royal Australian Air Force,?,Melbourne - Canberra,Lockheed Hudson A16-97,?,?,10   (passengers:6  crew:4),10   (passengers:6  crew:4),0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classic symptoms of a stall, too close to the ground for recovery."
?,"Gospic,,Coatia",Aeroput,?,Zagreb - Split,Lockheed 10 Electra,YU-SBC,1135,11   (passengers:9  crew:2),11   (passengers:9  crew:2),0,Hit a mountain slope while en route.
?,"Cluj, Romania",LARES,?,Baia Mare - Cluj-Napoca - Sibiu - Bucharest,Douglas DC-3,YR-PAF,1986,15   (passengers:12  crew:3),15   (passengers:12  crew:3),0,"While approaching Cluj-Napoca from the west, the aircraft was not on the assigned track and hit the slope of Mt Gaina during a hail and thunderstorm."
