Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
1920,"Near Las Vegas, Nevada",Trans Continental and Western Air,?,Las Vegas - Los Angeles,Douglas DC-3,NC1946,3295,22   (passengers:19  crew:3),22   (passengers:19  crew:3),0,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency."
?,"Kupang, Indonesia",Military - Royal Australian Air Force,?,?,Lockheed Hudson,A16-79,414-1933,11   (passengers:7  crew:4),11   (passengers:?  crew:4),0,"Shortly after taking off the left engine caught fire, the plane stalled and crashed."
?,"Kupang, Timor",KNILM,?,?,Grumman G-21 Goose,PK-AFS,1081,5   (passengers:2  crew:3),5   (passengers:2  crew:3),0,Shot down by Japanese military aircraft.
0800,"Near Kupang, Timor",Qantas,?,"Darwin - Surabaya, Dutch East Indies",Short S-23 (flying boat),G-AEUH,S-850,18   (passengers:13  crew:5),13   (passengers:11  crew:2),0,Shot down by Japanese military aircraft. Owned by British Overseas Airways.
0850,"English Channel, near Plymouth, England",British Overseas Airways,?,"Cairo, Egypt - England",Consolidated Liberator,G-AGDR,9,9   (passengers:4  crew:5),9   (passengers:4  crew:5),0,Shot down in error by two Royal Air Force Spitfire fighters..
?,"Zhengzhou-Xinzheng, China",China National Aviation Corporation,?,?,Douglas DC-2,45,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),?,Crashed under unknown circumstances.
?,"Off Belmont, Brisbane, Australia",Qantas,?,Brisbane - Darwin,deHavilland DH-86,VH-USE,2309,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,Crashed shortly after takeoff from Archerfield Airfiield  into a hillside. Suffered structural failure while flying in adverse weather conditons of wind and low overcast.
?,Indian Ocean,British Overseas Airways,?,"Java - Broom, Australia",Short S-23 (flying boat),G-AETZ,S-842,20   (passengers:16  crew:4),20   (passengers:16  crew:4),0,Shot down by Japanese military aircraft about 150 miles from Java.
?,"Wyndham, Australia",KNILM,?,Java - Australia,Douglas DC-3,PK-AFV,1965,12   (passengers:8  crew:4),8   (passengers:?  crew:?),0,Shot down by Japanese military aircraft.
?,"Off Broome, Australia",Military - U.S. Army Air Force,?,Broome - Kupang,Consolidated B-24 Liberator,40-2370,6,21   (passengers:19  crew:2),20   (passengers:18  crew:2),0,Shot down shortly after taking off by a Japanese fighter.
2130,"Kunming, China",China National Aviation Corporation,?,Kunming - Chungking,Douglas DC-2-221,31,1567,17   (passengers:14  crew:3),13   (passengers:10  crew:3),0,"Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light."
