Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Mendotta, Minnisota",US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
?,"La Crosse, Wisconsin",US Aerial Mail Service,?,?,Junkers F-13,301,?,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
?,Off Gibraltar,Aeropostale,?,?,Breguet 14,F-ALBA,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
?,"Elko, Nevada",US Aerial Mail Service,?,?,De Havilland DH-4,67,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"Shortly after taking off, the aircraft stalled and crashed ."
?,"Point Cook, Australia",Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2   (passengers:0  crew:0),2   (passengers:0  crew:0),0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
?,"Mitchel Field, NY",US Aerial Mail Service,?,?,De Havilland DH-4,160,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,After taking off the aircraft stalled and crashed.
?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,196,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
?,"Rock Springs, Wyoming",US Aerial Mail Service,?,?,"De Havilland DH-4
De Havilland DH-4",176,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed while attempting to land.
?,"Toulouse, France",Aeropostale,?,?,Breguet 14,F-ALBI,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,?
1740,"River Humber, England",Military - Royal Airship Works,?,?,Royal Airship Works ZR-2 (airship),R-38,R-38,49   (passengers:0  crew:49),43   (passengers:0  crew:43),1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
?,"Paris, France",Franco-Roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
?,"Near Murchinson River, Australia",West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
