Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 03, 2004",0444,"Off Sharm el Sheikh, Egypt",Flash Air,604,"Sharm el Sheikh, Egypt - Cairo, Egypt",Boeing B-737-3Q8,SU-ZCF,26283/2383,148   (passengers:135  crew:13),148   (passengers:135  crew:13),0,"Shortly after taking off,  the aircraft crashed into the Red Sea, 7 miles south of the airport. There were mostly French tourists on board heading home from the holidays. Possibly, the pilot suffered spatial disorientation and the copilot was unwilling to challenge his more experienced superior, however, no decisive cause was ever found."
"January 13, 2004",1940,"Tashkent, Uzbekistan",Uzbekistan Airways,1154,Termez - Tashkent,Yakovlev YAK-40,UK-87985,9540844,37   (passengers:32  crew:5),37   (passengers:32  crew:5),0,"Crashed while attempting to land in heavy fog. The aircraft struck a stanchion of approach lights and flipped over, hitting the outside of a wall surrounding the landing area. Crew error."
"February 06, 2004",0801,"Bitonja, Bosnia-Herzegovina",Military - Government of Macedonia,?,Skopje - Mostar,Beechcraft Super King Air 200,Z3-BAB,BB-652,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,"The twin engine aircraft crashed in the southern mountains of Bosnia in poor weather conditions, minutes away from landing at Mostar. Macedonian president, Boris Trajkovski, 47, killed along with 6 aids. Pilot error. The two-man crew misinterpreted crucial flight data in stormy weather."
"February 10, 2004",1140,"Sharjah, United Arab Emirates",Kish Airlines,1770,Kish Island - Sharjah,Fokker F-50,EP-LCA,20273,46   (passengers:40  crew:6),43   (passengers:37  crew:6),0,"The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident."
"March 04, 2004",0940,"Bakou, Azerbaijan
	
Bakou, Azerbaijan",Azov Avia Airlines,?,Ankara - Baku - Kabul,Ilyushin II-76,UR-ZVA,0063468036,7   (passengers:0  crew:7),3   (passengers:0  crew:3),0,"Shortly after taking off and climbing to about 150 feet, the aircraft pitch down and crashed into a field 4 km from the airport."
"March 16, 2004",0401,"Tonopah, Nevada",Military - United States Air Force,?,?,Beechcraft 1900C,N27RA,UB-37,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,While on approach and during a turn the pilot suffered a sudden cardiac death. Half way through the turn the airplane began a gradual descent until it impacted the ground. The airplane broke up and burst into flames. The pilot willfully deceived flight medical examiners and suppressed medical information and ingested inappropriate medications for a deteriorating and dangerous health condition.
"March 21, 2004",0220,"Pyote, Texas",Air Ambulance - Med-Trans Corp.,?,"Odessa, TX - Lubbock, TX",Bell 407,N502MT,53549,5   (passengers:4  crew:1),4   (passengers:3  crew:1),0,"The helicopter impacted terrain while maneuvering in reduced visibility conditions. The pilot's inadvertent encounter with adverse weather, which resulted in the pilot failing to maintain terrain clearance. Contributing factors were the dark night conditions, the pilot's inadequate preflight preparation and planning, and the pressure to complete the mission induced by the pilot as a result of the nature of the EMS mission."
"May 02, 2004",1600,"Near Milpillas, Mexico",Procuradoria General de la Republica,?,Ciudad Juarez - Mexico City,Rockwell Gulfstream Jetprop 840,XC-JEH,11678,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"The aircraft crashed and was destroyed following a loss of control while en route at cruise altitude at 23,000 ft. after encountering unfavorable weather conditions."
"May 05, 2004",1300,"Carepa, Colombia",Aerotransportes Petroleros,?,Bogota - Carepa,Swearingen SA227AC Metro III,HK-4275,AC-676,7   (passengers:5  crew:2),3   (passengers:1  crew:2),0,While on approach the plane hit the ground 300 ft. short of the runway.
"May 06, 2004",1500,"Jiech, Sudan",Charter - Air Cush,?,Jiech - Ayod,Let 410UVP,9XR-DC,?,10   (passengers:8  crew:2),6   (passengers:5  crew:1),0,"The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash."
"May 11, 2004",?,"Dalang, Sudan",El Magal Aviation,?,Khartoum - Juba - El Obeid,Antonov AN-12,ST-SIG,1400101,7   (passengers:0  crew:7),7   (passengers:0  crew:7),0,While flying in a thunderstorm the plane hit the side of a mountain. One survivor died a few hours after the accident.
"May 14, 2004",1830,"Near Manaus, Brazil",Rico Linhas Aereas,4815,Sao Paulo - Tefe - Manaus,Embraer 120ER Brasilia,PT-WRO,120070,33   (passengers:30  crew:3),33   (passengers:30  crew:3),0,"The plane dropped off radar at Manaus' Eduardo Gomes International Airport about 10 miles from the runway after it suspended landing procedures to allow another plane carrying sick people on the way to a hospital to land. The plane crashed in dense jungle, making it difficult for rescue crews to reach the wreckage."
"May 18, 2004",1050,"Urumqi, China",AZAL Cargo Company,?,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,4K-AZ27,0053460827,7   (passengers:0  crew:7),7   (passengers:0  crew:7),0,"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport."
"May 18, 2004",1040,"Bozoy, Kazakhstan",Aray-Avia,?,Kyzyl-Orda - Bozoy - Vozrozhdenya Island,PZL-Mielec AN-2R,UN-70276,1G139-35,12   (passengers:10  crew:2),1   (passengers:1  crew:0),0,Crashed and stalled near the end of the runway while attempting to take off. The aircraft was overloaded.
"May 23, 2004",0730,"Mwingi, Kenya",Blue Bird Aviation,?,Nairobi - Mogadiscio,Let 410UVP,5Y-VVD,872009,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.
"May 25, 2004",1356,"Near Lukla, Nepal",Yeti Airlines,117,Katmandou - Lukla,de Havilland DHC-6 Twin Otter 300,9N-AFD,651,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,"While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident."
"June 08, 2004",0938,"Off Libreville, Gabon",Gabon Express,221,Libreville - Franceville,BAe HS-748-232 Srs 2A,TR-LFW,1611/82,30   (passengers:26  crew:4),19   (passengers:18  crew:1),0,The aircraft nosedived into the sea about 100 meters off a beach shortly after taking off from Leon Mba international airport. Engine failure forced the plane back towards the airport.
"June 28, 2004",0917,"Near Yengema, Sierra Leone",United Nations -  UTair Charter,?,Freetown - Kailahun,Mi-8MTV-1,RA-27113,?,24   (passengers:21  crew:3),24   (passengers:21  crew:3),0,The helicopter crashed into a slope of a mountain in a forested area. The helicopter took off from the Sierra Leone capital but never arrived at its destination in the western city of Kailahun.
