Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Herat, Afghanistan",Ariana Afghan Airlines,?,?,Douglas DC-3,?,?,21   (passengers:?  crew:?),21   (passengers:?  crew:?),0,Two Russian trade delegates were killed when the plane crashed near Herat in a showstorm.
?,"Lapseki, Turkey",Devlet Hava Yollari,?,Istanbull - Bandirma - Canakkal7,Douglas DC-3,TC-BAG,19616,10   (passengers:5  crew:5),4   (passengers:2  crew:2),0,Flew into a mountain near Lapseki.
1720,"Near Aldbury, England",Military -Royal Air Force,?,Bovingdon AF - Thorney Island,Vickers Valetta,WJ474,599,17   (passengers:13  crew:4),16   (passengers:12  crew:4),0,The aircraft crashed 4 minutes after taking off in a snow shower. The aircraft lost altitude and crashed to the ground for reasons unknown.
1105,"Off Elba, Italy",British Overseas Airways,781,Rome - London,de Havilland DH106 Comet 1,G-ALYP,06003,35   (passengers:29  crew:6),35   (passengers:29  crew:6),0,"The aircraft broke up in-flight while en route from Rome to London. Metal fatigue due to a design flaw caused a breakup of the aircraft. One of two accidents with the same cause. The aircraft was nicknamed ""Yoke Peter."""
0615,"Manizales, Colombia",AVIANCA,?,Medellin  - Armenia,Douglas DC-3,HK-160,19540,21   (passengers:18  crew:3),21   (passengers:18  crew:3),0,"While descending to Manizales by night and poor weather conditions, the aircraft collided with a mountain shrouded by clouds and disintegrated on impact."
1355,"Prague, Czech Republic",Czech Airlines,?,Prague - Ostrava,Douglas C-47 Skytrain (DC-3),OK-WDS,11854,18   (passengers:14  crew:4),13   (passengers:9  crew:4),0,"The crew spotted a chimney and the pilot made a sharp turn to the left to avoid a collision. In doing so, the airplane hit a telephone pole and telegraphic cables, stalled and crashed in flames in a snow covered field. The accident was the consequence of poor flying techniques on part of the pilot-in-command during initial climb."
?,"Signal Hill, California",Military - U.S. Air Force,?,Williams AFB  - Long Beach,F-88 Sabre Jet,?,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),6,The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land at Long Beach Airport..
1150,"Rome, Italy",Philippine Air Lines,?,"Beirut, Lebanon - Rome, Italy",Douglas DC-6,PI-C294,42903/150,16   (passengers:9  crew:7),16   (passengers:9  crew:7),0,While descending to make an IFR landing the aircraft went into a steep dive and crashed. There was a possibility of both right engines being on fire. There was turbulence in the area.. The aircraft possibly  lost a wing during a pull out from the steep dive.
0708,"Kansas City, Missouri",Zantop Air Transport,?,Jackson  - Kansas City,Douglas DC-3A,N49551,4940,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The cargo plane crashed while on approach. The loss of control of the aircraft at an altitude too low to effect recovery. The loss of control resulted from an accumulation of ice and the use of de-icer boots at low air speeds.
1350,"Off Hokkaido, Japan",Military - U.S. Air Force,?,Misawa - Chitose,Curtiss-Wright C46D-CU,44-78027A,33423,35   (passengers:30  crew:5),35   (passengers:30  crew:5),0,"After reporting a fire in the cargo hold and that a ditching was imminent,  the last message from the aircraft was ""I've lost control of the aircraft we're going in."" The plane crashed 30 km south of Tomakomai."
?,"Susitna Valley, Alaska",Military - U.S. Air Force,?,Ladd AFB - Elemndorf AFB,Douglas C-47,5895,?,16   (passengers:0  crew:16),10   (passengers:0  crew:10),0,"The plane broke apart over the Susitna Valley of South Central Alaska and the scattered parts fell onto Kesugi Ridge, which is now within Denali State Park. Six servicemen wearing parachutes escaped by being thrown from the disintegrating aircraft."
?,"Off Gozo, Malta",Military - Royal Air Force,?,Military exercise,Avro Shackleton MR-2,WL794,?,10   (passengers:0  crew:10),10   (passengers:0  crew:10),0,Crashed at sea while on manuvers.
1100,"New Delhi, India",Indian Airlines,?,Test flight,Douglas DC-3,VT-ATU,20358,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The test flight crashed after attempting to determine the cause of a crash at Nagpur on 12/12/1953.
1032,"Wright, Wyoming",Western Airlines,314,Salt Lake City - Cedar City - Rapid City,Convair CV-240,N8407H,37,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,"After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed."
1430,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,?,"Tripoli, Libya - Hahn, W Germany",Douglas C-47A-DL,42-24096A,9958,20   (passengers:18  crew:2),20   (passengers:18  crew:2),0,"The aircraft struck a mountain and disintegrated at an altitude of 8,000 ft. while en route. The accident occurred in snow and low overcast conditions. The plane had drifted off the prescribed course and no wind drift correction had been made."
?,"Dien Bien Phu, South Vietnam",Aigle Azur,?,?,C-46,?,?,?   (passengers:?  crew:?),?   (passengers:?  crew:?),?,Shot down.
