Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 02, 1988",1920,"Izmir, Turkey",Condor Flugdienst,3780,Stuttgart - Izmir,Boeing B-737-230A,D-ABHD,22635/774,16   (passengers:11  crew:5),16   (passengers:11  crew:5),0,The aircraft was off the ILS sidebeam and crashed into a hill on approach in poor weather. The crew used the wrong VOR and ILS. Pilot overconfidence and co-pilot inactivity during the approach.
"January 18, 1988",?,"Mt. Colorado, Bolivia",ETA - Empresa Transportes Aéreos,?,?,Curtiss C-46A-55,CP-1244,246,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,Struck Mt. Colorado in poor weather.
"January 18, 1988",0420,"Krosnovodsk, USSR",Aeroflot,?,Moscow - Krosnovodsk,Tupolev TU 154B-2,CCCP-85254,77A254,143   (passengers:137  crew:6),11   (passengers:11  crew:0),0,Broke in two after a heavy landing. Crew error. Co-pilot was flying the plane against requirements that the pilot fly the plane.
"January 18, 1988",2217,"Near Chungking, Sichuan, China",China Southwest Airlines,4146,Beijing - Chongqing,Ilyushin IL-18D,B-222,187009901,108   (passengers:98  crew:10),108   (passengers:98  crew:10),0,The aircraft crashed 10 minutes before its scheduled landing. Fire in and failure of the No. 4 engine led to separation of the pylon and engine and loss of control of the aircraft. Overheating of the feathering oil. Poor maintenance procedures.
"January 19, 1988",1900,"Bayfield, Colorado",Trans Colorado AL / Continental Express,2286,"Denver, CO - Durango, CO",Swearingen SA.227AC Metro,N68TC,AC-457,17   (passengers:15  crew:2),9   (passengers:7  crew:2),0,"The aircraft crashed while attempting to land in adverse weather conditions five miles short of the runway.  The captain choose a direct VOR/DME approach instead of the safer ILS. The copilot lacked the ability to land the tricky approach. The pilot who was not flying the plane, did not observe the copilot was flying a too steep of an approach. The NTSB isssued a report that stated that the captain was a heavy user of cocaine and traces were found in his blood and urine."
"January 19, 1988",?,"Green Island, Taiwan",Taiwan Airlines,?,Taitung-Lyudao,Britten-Norman BN-2A-26 Trislander,B-11125,2029,11   (passengers:10  crew:1),10   (passengers:9  crew:1),0,Crashed in mountains.
"January 24, 1988",1649,"Near Nizhnevartovsk, Russia",Aeroflot,?,Nizhnevartovsk - Tyumen,Yakovlev YAK-40,CCCP-87549,9531442,31   (passengers:27  crew:4),27   (passengers:23  crew:4),0,"The plane stalled and crashed after a loss of engine power on takeoff. The engine throttles were reduced at  a critical stage of the takeoff for undetermined reasons, probably by the crew."
"February 01, 1988",?,Panama,Military - Fuerza Aérea Panamena,?,?,CASA 212 Aviocar 200,FAP215,237,16   (passengers:14  crew:2),16   (passengers:14  crew:2),0,Flew into a mountain.
"February 08, 1988",0758,"Near Mulheim, Germany",NFD - Nurnberger Flugdienst,108,Hannover - Dusseldorf,Swearingen SA.227AC Metro III,D-CABB,AC-500,21   (passengers:19  crew:2),21   (passengers:19  crew:2),0,The plane was struck by lightning and suffered a complete electrical failure after which the right wing broke off during an uncontrollable descent.
"February 19, 1988",2127,"Cary, North Carolina",AV Air / American Eagle,3378,Raleigh - Richmond,Swearingen SA227-AC,N622AV,AC-622,12   (passengers:10  crew:2),12   (passengers:10  crew:2),0,"The plane crashed into a reservoir shortly after taking off in low visibility and ceiling. The failure of the flight crew to maintain a proper flight path because of the first officer's inappropriate instrument scan, the captain's inadequate monitoring of the flight, and the flight  and the flight crew's response to a perceived fault in the airplane's stall avoidance system."
"February 27, 1988",0408,"Surgut, Russia",Aeroflot,?,Tyumen - Surgut,Tupolev TU-134A,CCCP-65675,1351501,51   (passengers:45  crew:6),20   (passengers:17  crew:3),0,"The aircraft made a hard landing beside the runway, broke up and caught fire. Crew error. Visual contact with the runway was lost as the aircraft descended through the decision height."
"February 27, 1988",1025,"Near Ercan, Cyprus",Talia Airways,?,Istanbul - Ercan,Boeing B-727-2H9A,TC-AKD,20930/1044,15   (passengers:9  crew:6),15   (passengers:9  crew:6),0,"Crashed into mountain 20 kms E of Kyrenia Turkey while on approach. Crew error. Pilot discontinued IFR approach and descended ignoring mountains ahead. Realizing his mistake, he tried to climb and turn left but struck the mountain."
"March 01, 1988",1728,"Near Johannesburg, South Africa",Commercial Airways (Comair),206,Phalaborwa - Johannesburg,Embraer 110P1 Bandeirante,ZS-LGP,110-402,17   (passengers:15  crew:2),17   (passengers:15  crew:2),0,The aircraft crashed and burned 8 miles from Jan Smuts Airport while attemping to land. Detonation of a bomb consisting of nitro-glycerine and ammonium nitrate. A mineworker who heavily insured himself was thought to have committed suicide.
"March 04, 1988",0637,"Near Fontainebleau, France",Transport Arien Transregional,230,Nancy - Paris,Fairchild FH-227B,F-GCPS,546,23   (passengers:20  crew:3),23   (passengers:20  crew:3),0,Crashed after hitting power lines while making an approach to Orly. Electrical system failure.
"March 08, 1988",2145,"Near Clarksville, Tennessee",Military - U.S. Army,?,?,Sikorsky UH-60A / Sikorsky UH-60A,8524462/8724605,?,17   (passengers:?  crew:?),17   (passengers:?  crew:?),0,The two helicopters collided in mid-air in the dark and crashed on the Fort Campbell military base. Pilot error.
